,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5067,0.0,50.0,0.0,0.5078
split 1,0.0,50.0,0.0,0.5044,0.0,50.0,0.0,0.5496
split 2,0.0,50.0,0.0,0.487,0.0,50.0,0.0,0.5014
split 3,0.0,50.0,0.0,0.4755,0.0,50.0,0.0,0.5763
split 4,0.0,50.0,0.0,0.4952,0.0,50.0,0.0,0.629
split 5,0.0,50.0,0.0,0.5139,0.0,50.0,0.0,0.4746
mean,0.0,50.0,0.0,0.4971,0.0,50.0,0.0,0.5398
std,0.0,0.0,0.0,0.0129,0.0,0.0,0.0,0.0519
test mean,0.0,50.0,0.0,0.5146313222505254,0.0,50.00000000000002,0.0,0.5325465345846329
test std,0.0,1.6054591898650453e-14,0.0,0.06172522081297715,0.0,2.1167734743366723e-14,0.0,0.08706128918484023
