,F1,Acc,precision,Auc
train tissue 0,0.0,49.99999999999997,0.0,0.597783572359843
train tissue 1,0.0,49.999999999999964,0.0,0.48500651890482344
train tissue 2,0.0,50.0,0.0,0.518159806295399
train tissue 3,0.0,50.000000000000014,0.0,0.4725274725274724
train tissue 4,0.0,49.999999999999964,0.0,0.547222222222222
train tissue 5,0.0,50.000000000000014,0.0,0.5101351351351353
train tissue 6,0.0,50.00000000000002,0.0,0.5157563025210085
train tissue 7,0.0,50.00000000000002,0.0,0.5699059561128529
train tissue 8,0.0,50.0,0.0,0.6745945945945948
train tissue 9,0.0,50.000000000000014,0.0,0.6250000000000003
train tissue 10,0.0,50.0,0.0,0.5257648953301126
train tissue 11,0.0,49.999999999999986,0.0,0.4855687606112054
train tissue 12,0.0,50.000000000000014,0.0,0.4632352941176471
train tissue 13,0.0,50.000000000000014,0.0,0.5856459330143541
train tissue 14,0.0,50.000000000000014,0.0,0.5843989769820973
train tissue 15,0.0,49.999999999999986,0.0,0.5603448275862069
train tissue 16,0.0,49.99999999999999,0.0,0.5164141414141412
train tissue 17,0.0,50.0,0.0,0.29904306220095633
train tissue 18,0.0,50.000000000000014,0.0,0.5257936507936507
train mean,0.0,50.0,0.0,0.5295947959328275
train std,0.0,1.7931065148788005e-14,0.0,0.07589739302764861
test tissue 0,0.0,50.0,0.0,0.5045362903225806
test tissue 1,0.0,50.00000000000002,0.0,0.6203703703703705
test tissue 2,0.0,50.000000000000014,0.0,0.7212121212121214
test tissue 3,0.0,49.99999999999997,0.0,0.5502645502645502
test tissue 4,0.0,49.999999999999964,0.0,0.5045632333767922
test tissue 5,0.0,50.0,0.0,0.40219092331768364
test tissue 6,0.0,50.0,0.0,0.5850596359070934
test tissue 7,0.0,50.0,0.0,0.5248015873015872
test mean,0.0,50.0,0.0,0.5516248390090974
test std,0.0,1.8460441789282214e-14,0.0,0.08809628151159159
