,F1,c0 F1,c1 F1,c2 F1,Acc,precision,c0 precision,c1 precision,c2 precision,Auc
test tissue 0,51.388590437287455,46.28511716371352,58.02502373428934,49.855630413859494,51.534006534006515,51.37489567553181,46.87038475007237,55.483294041134876,51.77100823538821,0.6555081216159933
test tissue 1,44.05377404866454,42.57214381152769,43.62045400360714,45.968724330858805,43.989544982535634,44.361377829199235,39.77354251817114,44.886080595684454,48.424510373742116,0.6043632940486088
test tissue 2,43.424113669339384,52.13907862975703,27.21865654087837,50.91460583738275,45.8274231678487,46.10437248829707,46.099355190264255,47.04379138111278,45.16997089351417,0.6123014302673978
test tissue 3,45.98702030014166,45.741601023362286,44.17255632870964,48.04690354835306,46.171560690805606,47.33574479904994,44.661717401022,54.34197503773007,43.00354195839777,0.6169242964724535
test tissue 4,37.79357016564541,32.850247350035595,40.9022187717076,39.628244375193056,37.812755600774025,37.804041588302965,32.974149627047936,39.91864731217098,40.51932782568996,0.5557591813035274
test mean,44.52941372421569,43.917637595679224,42.78778187583842,46.88282170112943,45.0670581951941,45.396086476076206,42.07582989731554,48.33475767356663,45.77767185734645,0.6089712647415962
test std,4.381607738470646,6.337529094843853,9.805483104120581,3.9978100928180447,4.413738604090281,4.443419190001541,5.176957351944547,5.8579708744531285,3.965882352898921,0.031914820950827226
