,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5012,0.0,50.0,0.0,0.5436
split 1,0.0,50.0,0.0,0.5067,0.0,50.0,0.0,0.5107
split 2,0.0,50.0,0.0,0.505,0.0,50.0,0.0,0.5254
split 3,0.0,50.0,0.0,0.5087,0.0,50.0,0.0,0.5427
split 4,0.0,50.0,0.0,0.5084,0.0,50.0,0.0,0.5
split 5,0.0,50.0,0.0,0.5117,0.0,50.0,0.0,0.5143
mean,0.0,50.0,0.0,0.5069,0.0,50.0,0.0,0.5228
std,0.0,0.0,0.0,0.0033,0.0,0.0,0.0,0.0162
test mean,0.0,49.99999999999999,0.0,0.5095670742536053,0.0,50.000000000000014,0.0,0.5095098057241567
test std,0.0,1.686185274042142e-14,0.0,0.07120390742560376,0.0,1.2306961192854808e-14,0.0,0.0491980298178649
