plant,time point,cell,area
P1,3,5915,44.054
P1,3,5921,34.3179
P1,3,5923,40.7972
P1,3,5932,44.3604
P1,3,5936,46.1399
P1,3,5937,28.2675
P1,3,5938,42.9783
P1,3,5947,41.2634
P1,3,5953,31.8905
P1,3,5954,29.1646
P1,3,5962,35.6495
P1,3,5966,40.1126
P1,3,5968,51.3702
P1,3,5975,46.6213
P1,3,5978,35.5593
P1,3,5981,37.0069
P1,3,5993,35.6545
P1,3,6006,43.4168
P1,3,6009,39.3527
P1,3,6024,34.5801
P1,3,6044,37.2499
P1,3,6055,48.2688
P1,3,6057,53.1949
P1,3,6059,51.999
P1,3,6070,38.5472
P1,3,6076,59.7088
P1,3,6077,54.1728
P1,3,6082,27.5218
P1,3,6084,47.2176
P1,3,6089,49.6934
P1,3,6090,34.6652
P1,3,6095,33.7683
P1,3,6097,41.2047
P1,3,6107,59.9812
P1,3,6108,19.8705
P1,3,6109,25.9422
P1,3,6114,44.5042
P1,3,6121,54.1176
P1,3,6128,50.4206
P1,3,6130,33.9192
P1,3,6132,41.6733
P1,3,6136,46.052
P1,3,6137,23.9796
P1,3,6138,48.2669
P1,3,6147,53.1039
P1,3,6153,49.0352
P1,3,6155,28.1025
P1,3,6162,54.3679
P1,3,6164,29.4881
P1,3,6165,31.6308
P1,3,6166,28.2679
P1,3,6171,28.7828
P1,3,6172,34.9581
P1,3,6175,53.5136
P1,3,6177,32.1856
P1,3,6178,51.3922
P1,3,6180,31.9431
P1,3,6190,51.2021
P1,3,6192,37.475
P1,3,6193,29.2594
P1,3,6195,64.4549
P1,3,6198,52.2411
P1,3,6200,32.6985
P1,3,6201,30.1751
P1,3,6206,49.4197
P2,0,4,36.7542
P2,0,6,18.6933
P2,0,9,30.8255
P2,0,11,29.7015
P2,0,13,26.6819
P2,0,27,47.4381
P2,0,33,32.8729
P2,0,34,29.6676
P2,0,39,25.7087
P2,0,42,30.0056
P2,0,45,32.5187
P2,0,63,52.3842
P2,0,65,25.3194
P2,0,71,25.4188
P2,0,72,21.6227
P2,0,73,38.9356
P2,0,74,25.3016
P2,0,80,31.5467
P2,0,82,24.0881
P2,0,86,44.8616
P2,0,91,26.7114
P2,0,94,43.3329
P2,0,95,34.8539
P2,0,104,24.6172
P2,0,105,23.9323
P2,0,106,29.5705
P2,0,111,28.1697
P2,0,112,39.0394
P2,0,128,39.6942
P2,0,135,25.9826
P2,0,147,32.5877
P2,0,149,29.7466
P2,0,155,33.0245
P2,0,162,27.2615
P2,0,165,31.1655
P2,0,180,31.3197
P2,0,182,30.3062
P2,0,202,19.3372
P2,0,214,28.3838
P2,0,215,32.7919
P2,0,220,23.0811
P2,0,229,42.7835
P2,0,233,43.9954
P2,0,236,30.1177
P2,0,240,38.5266
P2,0,242,27.1565
P2,0,249,35.1924
P2,0,251,18.3347
P2,0,257,28.479
P2,0,260,36.4095
P2,0,262,21.6513
P2,0,264,33.2032
P2,0,265,21.3912
P2,0,270,30.2067
P2,0,283,22.1973
P2,0,288,20.8728
P2,0,296,31.4222
P2,0,305,22.583
P2,0,306,28.2791
P2,0,307,26.7366
P2,0,311,25.2887
P2,0,313,31.1835
P2,0,323,39.0702
P2,0,324,18.857
P2,0,325,19.2255
P2,0,337,33.3703
P2,0,338,27.1481
P2,0,339,30.1629
P2,0,341,31.4811
P2,0,348,36.6922
P2,0,350,28.9505
P2,0,361,37.0382
P2,0,362,26.9419
P2,0,363,25.8104
P2,0,366,24.6806
P2,0,374,30.5836
P2,0,377,26.9292
P2,0,379,29.5767
P2,0,381,23.5118
P2,0,383,26.3759
P2,0,384,24.2343
P2,0,392,24.2704
P2,0,394,27.8255
P2,0,396,30.4734
P2,0,398,38.3127
P2,0,408,29.833
P2,0,409,39.1394
P2,0,415,34.5504
P2,0,416,26.7835
P2,0,417,18.5591
P2,0,418,27.5262
P2,0,419,34.8903
P2,0,429,45.026
P2,0,430,20.4924
P2,0,431,22.6308
P2,1,467,30.9019
P2,1,469,26.6777
P2,1,470,28.2926
P2,1,471,29.1765
P2,1,478,36.9627
P2,1,486,38.7603
P2,1,488,29.3972
P2,1,489,46.8231
P2,1,490,25.2869
P2,1,491,41.5331
P2,1,492,31.818
P2,1,500,16.416
P2,1,505,43.3052
P2,1,506,24.4634
P2,1,513,22.5738
P2,1,521,19.4373
P2,1,524,46.5612
P2,1,527,42.355
P2,1,540,33.6003
P2,1,541,43.3282
P2,1,553,34.9026
P2,1,559,39.2123
P2,1,560,34.9926
P2,1,564,38.6877
P2,1,568,22.1426
P2,1,572,39.8604
P2,1,581,36.4692
P2,1,593,26.9798
P2,1,596,20.3424
P2,1,597,26.947
P2,1,598,35.4543
P2,1,599,48.4204
P2,1,600,32.0958
P2,1,615,25.0497
P2,1,617,41.0227
P2,1,619,41.0708
P2,1,623,28.4204
P2,1,625,33.792
P2,1,626,26.8372
P2,1,629,23.5613
P2,1,631,30.0018
P2,1,634,40.566
P2,1,636,30.2154
P2,1,637,36.7262
P2,1,638,32.5837
P2,1,652,28.1844
P2,1,654,34.0815
P2,1,655,23.7597
P2,1,656,32.7572
P2,1,657,29.359
P2,1,658,16.5635
P2,1,659,49.3303
P2,1,664,36.5703
P2,1,665,29.255
P2,1,666,32.409
P2,1,668,23.7252
P2,1,685,22.8636
P2,1,687,28.5177
P2,1,691,45.5537
P2,1,693,32.4498
P2,1,694,38.2563
P2,1,697,28.415
P2,1,698,33.0374
P2,1,709,34.3728
P2,1,710,32.2147
P2,1,712,27.2327
P2,1,713,29.4672
P2,1,714,30.4483
P2,1,715,36.7129
P2,1,731,37.3794
P2,1,732,29.6755
P2,1,734,25.8719
P2,1,735,26.0187
P2,1,736,26.5993
P2,1,741,26.0687
P2,1,758,41.2071
P2,1,761,37.1959
P2,1,763,41.9616
P2,1,769,24.3207
P2,1,772,38.2282
P2,1,773,43.8713
P2,1,776,21.7325
P2,1,777,36.8881
P2,1,778,31.3943
P2,1,779,29.2495
P2,1,783,30.4104
P2,2,457,35.1964
P2,2,461,48.4604
P2,2,464,38.5626
P2,2,496,37.8467
P2,2,497,44.3764
P2,2,504,48.5474
P2,2,509,41.4041
P2,2,510,35.4364
P2,2,513,33.4455
P2,2,522,34.3092
P2,2,523,46.3327
P2,2,525,26.4293
P2,2,528,24.1611
P2,2,531,36.1164
P2,2,532,19.7321
P2,2,534,49.8426
P2,2,536,34.4983
P2,2,538,29.5885
P2,2,539,26.6087
P2,2,541,39.4315
P2,2,561,30.4567
P2,2,568,34.3748
P2,2,571,21.4972
P2,2,597,42.319
P2,2,600,25.6381
P2,2,603,34.3728
P2,2,625,33.1107
P2,2,626,36.9281
P2,2,629,44.6339
P2,2,631,31.7396
P2,2,634,30.9537
P2,2,637,23.2618
P2,2,640,21.364
P2,2,642,27.1059
P2,2,643,27.524
P2,2,657,31.6991
P2,2,658,41.6491
P2,2,662,46.8095
P2,2,663,35.9356
P2,2,664,21.6713
P2,2,665,29.3059
P2,2,666,26.2527
P2,2,667,37.847
P2,2,668,26.4665
P2,2,669,34.8149
P2,2,672,31.3942
P2,2,674,35.2298
P2,2,675,46.9083
P2,2,684,41.7852
P2,2,686,43.8187
P2,2,688,33.5902
P2,2,691,37.3446
P2,2,696,47.0268
P2,2,698,28.9007
P2,2,699,24.3215
P2,2,700,42.7435
P2,2,701,30.8237
P2,2,704,29.1258
P2,2,708,28.9296
P2,3,1010,51.9013
P2,3,1018,40.3655
P2,3,1032,29.6012
P2,3,1033,38.523
P2,3,1048,34.1752
P2,3,1075,42.491
P2,3,1096,48.4245
P2,3,1103,45.586
P2,3,1105,32.9778
P2,3,1118,34.8793
P2,3,1135,55.0739
P2,3,1173,44.151
P2,3,1191,50.5838
P2,3,1194,51.41
P2,3,1196,42.3715
P2,3,1198,37.2549
P2,3,1200,30.2518
P2,3,1216,59.0176
P2,3,1222,30.2775
P2,3,1234,42.1474
P2,3,1235,50.0828
P2,3,1238,30.761
P2,3,1255,39.0616
P2,3,1278,27.7949
P2,3,1280,24.1146
P2,3,1282,47.9354
P2,3,1291,31.4995
P2,3,1298,25.5757
P2,3,1300,40.4337
P2,3,1308,44.3607
P2,3,1310,45.3666
P2,3,1326,32.6388
P2,3,1332,38.5486
P2,3,1336,26.5907
P2,3,1343,39.3571
P2,3,1345,29.3861
P2,3,1354,38.2412
P2,3,1429,28.4983
P2,3,1431,39.3413
P5,0,3,44.6981
P5,0,4,37.5879
P5,0,9,34.6537
P5,0,23,35.6798
P5,0,25,41.3398
P5,0,30,28.7773
P5,0,38,37.3186
P5,0,48,39.147
P5,0,50,25.0859
P5,0,52,25.7723
P5,0,81,28.2477
P5,0,90,23.2137
P5,0,104,35.6885
P5,0,108,41.6179
P5,0,110,34.8307
P5,0,115,28.8213
P5,0,116,42.4841
P5,0,122,33.5572
P5,0,123,23.9349
P5,0,137,42.1762
P5,0,144,31.0007
P5,0,151,33.8333
P5,0,152,39.7621
P5,0,153,20.8746
P5,0,164,44.2142
P5,0,178,30.3614
P5,0,197,31.2626
P5,0,198,29.296
P5,0,217,28.0782
P5,0,224,30.8406
P5,0,249,23.8819
P5,0,250,26.6265
P5,0,252,35.3614
P5,0,284,28.2618
P5,0,290,27.8847
P5,0,291,28.2261
P5,0,295,23.7217
P5,0,296,33.9931
P5,0,339,32.4904
P5,0,345,26.2905
P5,0,347,26.4186
P5,0,380,31.4234
P5,0,381,39.0809
P5,0,382,43.5374
P5,0,383,26.7102
P5,0,388,35.2266
P5,0,390,36.0294
P5,0,391,25.9324
P5,0,399,46.5002
P5,0,410,24.3078
P5,0,412,37.3047
P5,0,418,22.4827
P5,0,419,22.4786
P5,0,421,32.0802
P5,0,424,31.4395
P5,0,427,40.9378
P5,0,428,45.6554
P5,0,438,41.7126
P5,0,439,32.3516
P5,0,440,20.8286
P5,0,443,30.4604
P5,0,454,30.1102
P5,0,458,33.2071
P5,0,462,40.7115
P5,0,464,22.1271
P5,0,466,42.8822
P5,0,468,44.712
P5,0,470,21.6027
P5,0,471,38.6067
P5,0,473,34.9443
P5,0,484,28.832
P5,0,485,29.0023
P5,0,486,23.9216
P5,0,488,26.0768
P5,0,489,27.4255
P5,0,491,32.2711
P5,0,493,31.3197
P5,0,494,27.531
P5,0,501,35.5849
P5,0,522,29.5323
P5,0,525,29.6997
P5,0,527,27.8092
P5,0,528,27.4254
P5,0,529,21.5531
P5,0,530,39.2313
P5,0,538,39.5298
P5,0,539,39.8062
P5,0,541,45.1726
P5,1,573,27.2001
P5,1,585,34.2684
P5,1,589,27.208
P5,1,591,24.4343
P5,1,595,25.668
P5,1,596,25.941
P5,1,599,31.0107
P5,1,600,51.4938
P5,1,612,36.9205
P5,1,616,37.8289
P5,1,629,48.1438
P5,1,642,45.131
P5,1,646,28.1433
P5,1,648,35.3126
P5,1,649,17.7349
P5,1,653,42.607
P5,1,654,40.4667
P5,1,660,30.8645
P5,1,670,34.2211
P5,1,672,20.3043
P5,1,674,44.4417
P5,1,681,43.157
P5,1,717,17.9037
P5,1,718,41.3259
P5,1,724,26.7184
P5,1,727,25.1868
P5,1,736,24.257
P5,1,738,26.988
P5,1,739,26.3769
P5,1,752,49.306
P5,1,771,24.5431
P5,1,772,45.3971
P5,1,775,29.0678
P5,1,783,42.2403
P5,1,814,18.7584
P5,1,827,32.3295
P5,1,836,29.4194
P5,1,850,41.8465
P5,1,868,32.9268
P5,1,875,25.0839
P5,1,883,22.9546
P5,1,885,41.4341
P5,1,886,29.6777
P5,1,888,51.7173
P5,1,896,34.8541
P5,1,903,36.0209
P5,1,905,38.5271
P5,1,907,47.8494
P5,1,908,27.8076
P5,1,909,41.639
P5,1,925,34.889
P5,1,927,40.8831
P5,1,928,29.3239
P5,1,930,25.4375
P5,1,932,31.4889
P5,1,936,35.2998
P5,1,938,43.9682
P5,1,948,40.357
