,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train TPR,train FPR,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val TPR,val FPR,val Auc
split 0,43.06,44.66,45.65,38.86,43.19,47.32,28.4,0.6188,31.91,31.69,29.51,34.52,31.84,30.34,34.08,0.5056
split 1,43.64,41.19,48.74,40.98,43.94,54.65,28.03,0.6242,29.54,26.99,32.18,29.44,29.59,31.46,35.21,0.4687
split 2,40.94,33.17,46.6,43.04,41.5,49.3,29.25,0.6144,29.64,32.56,29.83,26.52,29.59,30.34,35.21,0.4677
split 3,42.81,40.37,44.04,44.01,42.91,44.23,28.54,0.6169,29.63,25.64,30.23,33.01,29.96,29.21,35.02,0.4773
split 4,42.58,39.18,43.66,44.89,42.79,43.54,28.6,0.6207,25.13,22.08,25.58,27.72,25.38,25.0,37.31,0.4505
mean,42.6,39.71,45.74,42.36,42.87,47.81,28.57,0.619,29.17,27.79,29.47,30.24,29.27,29.27,35.36,0.474
std,0.9,3.75,1.84,2.18,0.79,4.01,0.4,0.0033,2.21,3.9,2.15,3.06,2.12,2.25,1.06,0.018
