,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5743,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5251
split 1,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5754,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5503
split 2,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5787,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5231
split 3,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5803,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5216
split 4,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5756,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5421
split 5,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5804,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5068
mean,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5775,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5282
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143
test mean,16.666666666666668,50.000000000000014,0.0,0.0,33.333333333333336,11.11111111111111,33.33333333333333,0.0,0.0,0.567664715266455,16.666666666666664,50.0,0.0,0.0,33.33333333333333,11.11111111111111,33.33333333333333,0.0,0.0,0.5206603885944417
test std,1.8098759617492368e-14,5.633360211533698e-14,0.0,0.0,8.204640795236539e-15,1.6496043389135424e-14,4.9495720255051925e-14,0.0,0.0,0.046189647318642356,1.0805156823142815e-14,3.157720988623534e-14,0.0,0.0,7.944109290391274e-15,9.20882985570147e-15,2.774758085844075e-14,0.0,0.0,0.047338017379361594
