,F1,Acc,precision,Auc
train tissue 0,0.0,50.00000000000002,0.0,0.5613026819923373
train tissue 1,0.0,50.0,0.0,0.4431977559607294
train tissue 2,0.0,50.0,0.0,0.41666666666666713
train tissue 3,0.0,50.000000000000014,0.0,0.6073345259391771
train tissue 4,0.0,49.999999999999986,0.0,0.5102586975914358
train tissue 5,0.0,49.999999999999986,0.0,0.5256410256410255
train tissue 6,0.0,50.000000000000014,0.0,0.595959595959596
train tissue 7,0.0,50.000000000000014,0.0,0.5945312499999998
train tissue 8,0.0,50.0,0.0,0.6009791921664626
train tissue 9,0.0,50.00000000000002,0.0,0.5014662756598244
train tissue 10,0.0,50.0,0.0,0.5019607843137253
train tissue 11,0.0,50.0,0.0,0.44505160898603513
train tissue 12,0.0,49.999999999999986,0.0,0.551691729323308
train tissue 13,0.0,50.0,0.0,0.5618073316283037
train tissue 14,0.0,50.000000000000014,0.0,0.5063938618925833
train tissue 15,0.0,49.99999999999999,0.0,0.4133790737564321
train tissue 16,0.0,49.99999999999999,0.0,0.4911616161616159
train tissue 17,0.0,50.0,0.0,0.54599761051374
train tissue 18,0.0,49.999999999999986,0.0,0.5071119356833644
train mean,0.0,50.0,0.0,0.5200996431492824
train std,0.0,1.1754795421389178e-14,0.0,0.05901992857846387
test tissue 0,0.0,50.00000000000004,0.0,0.5752895752895759
test tissue 1,0.0,50.000000000000014,0.0,0.4064872325741893
test tissue 2,0.0,50.00000000000002,0.0,0.425
test tissue 3,0.0,50.0,0.0,0.5037037037037034
test tissue 4,0.0,50.00000000000002,0.0,0.579821200510856
test tissue 5,0.0,49.99999999999999,0.0,0.5712643678160919
test tissue 6,0.0,50.0,0.0,0.5819209039548021
test tissue 7,0.0,49.999999999999986,0.0,0.515965166908563
test mean,0.0,50.000000000000014,0.0,0.5199315188447227
test std,0.0,1.794032467181608e-14,0.0,0.06641696594507566
