,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,19.59,50.13,8.24,0.4,34.28,48.32,33.66,56.4,54.91,0.5835,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5275
split 1,19.62,50.27,7.94,0.64,34.36,52.89,33.75,55.14,69.78,0.5735,18.97,49.03,0.0,7.87,33.44,28.26,32.92,0.0,51.88,0.5505
split 2,17.29,49.94,0.8,1.14,33.49,55.89,33.33,70.89,63.45,0.5727,16.6,49.8,0.0,0.0,33.16,11.07,33.22,0.0,0.0,0.5552
split 3,19.62,50.08,8.08,0.72,34.14,43.95,33.67,47.28,50.91,0.5709,18.03,49.44,4.66,0.0,33.13,21.28,33.2,30.63,0.0,0.5646
split 4,17.13,49.98,0.73,0.68,33.48,58.69,33.35,72.05,70.67,0.5827,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.4942
split 5,20.11,50.33,10.02,0.0,34.51,28.8,33.86,52.55,0.0,0.5833,18.13,48.21,6.19,0.0,31.68,16.82,32.75,17.7,0.0,0.4851
mean,18.9,50.12,5.97,0.6,34.04,48.09,33.6,59.05,51.62,0.5778,17.51,49.41,1.81,1.31,33.01,16.61,33.12,8.06,8.65,0.5295
std,1.2,0.14,3.74,0.35,0.41,9.88,0.2,9.24,24.18,0.0055,0.92,0.64,2.59,2.93,0.6,6.44,0.22,11.99,19.33,0.0304
test mean,18.63826735421128,50.083983218520274,5.585741758821021,0.24507708529252517,34.10992856692377,16.591399862788634,33.71853668580142,13.496139093040668,2.5595238095238098,0.5711753735101482,19.402341775908873,50.025303329103345,8.181721998623276,0.0,34.189315758484966,19.235112257356903,33.64329450680305,24.06204226526766,0.0,0.5548576495648615
test std,4.127007575960029,0.5713379650039415,12.236947725475234,1.0960180448832002,1.8469458349336612,8.979215494245079,0.9220012661824368,21.707095159342483,11.446538456248923,0.04577908064927233,3.047158875176578,0.9675981163979271,9.324647814379547,0.0,1.0182083744008423,8.570416733696124,0.7040996492495915,25.508323634511644,0.0,0.027150991316997098
