plant,time point,cell,clustering coefficient,information centrality,page rank,katz centrality,harmonic centrality,abs graph density on 2 neighborhood,algebraic connectivity on 2 neighborhood,weighted node degree.1,clustering coefficient.1,information centrality.1,eigenvector centrality.1,page rank.1,katz centrality.1,abs graph density on 2 neighborhood.1,avg path length on 2 neighborhood.1,algebraic connectivity on 2 neighborhood.1,weighted node degree.2,clustering coefficient.2,information centrality.2,eigenvector centrality.2,page rank.2,katz centrality.2,harmonic centrality.2,abs graph density on 2 neighborhood.2,avg path length on 2 neighborhood.2,algebraic connectivity on 2 neighborhood.2,clustering coefficient.3,information centrality.3,katz centrality.3,harmonic centrality.3,abs graph density on 2 neighborhood.3,algebraic connectivity on 2 neighborhood.3
p4 FM1,0,21399,0.4,0.011275039954926222,0.007926819964470264,0.09971943013032064,36.65873015873015,0.22380952380952385,0.7549029101702802,0.1913356289048116,0.3047855976965138,0.0002808607927269269,0.2579907622982356,0.009421167489488305,0.09971943013032064,0.22380952380952385,0.06311286346201482,0.020703089873258758,1.9431973905161253,0.017344624637015475,0.002937543106614196,1.3118998302099776e-05,0.008696710144789895,0.09971943013032064,156.7551436069191,0.22380952380952385,0.5632037462414162,0.17801955165532152,0.2122263498476277,0.08286110535135546,0.09971943013032064,5.0357639968272245,0.22380952380952385,5.516713263357495
p4 FM1,0,21403,0.4,0.011246578626470216,0.007929299095494308,0.09946449092729084,36.79563492063488,0.22380952380952385,0.7261835986218635,0.1192865870186956,0.2004224749648359,0.00025193893881444036,0.09623436464902088,0.006845555089099186,0.09946449092729084,0.22380952380952385,0.05100487166052308,0.01608504852646048,5.255050690754245,0.01828673910329696,0.003035834246696171,1.4029889427643213e-06,0.016507794122655045,0.09946449092729084,199.2637485365511,0.22380952380952385,0.4958535383753237,0.15156192241812588,0.20580119381856213,0.08211245424514259,0.09946449092729084,5.2644583010138515,0.22380952380952385,5.167106637930278
p4 FM1,0,21404,0.5,0.009980999896476748,0.006992151771212317,0.08717192027894746,32.57142857142859,0.2916666666666667,0.9260299220826841,0.1090000336201198,0.26610443710713183,0.0002225086417068942,0.019052194691908005,0.007168940958323669,0.08717192027894746,0.2916666666666667,0.0397211818708794,0.0179958162512165,0.907276918342162,0.01528435540255629,0.0022241316488061428,6.16582619642902e-08,0.005031521976840546,0.08717192027894746,186.46565030617668,0.2916666666666667,0.4113376410380562,0.1821985846573548,0.2296789313264853,0.07012948891568943,0.08717192027894746,5.006841799736778,0.2916666666666667,5.858954592697788
p4 FM1,0,21439,0.3333333333333333,0.011360089487029813,0.009210873562831307,0.10749725755112988,36.52222222222224,0.21645021645021648,0.7335349877355668,0.15083553295472085,0.18187617225699126,0.0002600969809935862,0.10803759425358532,0.008133707266428432,0.10749725755112988,0.21645021645021648,0.05377472981898294,0.016434450062308627,1.859684442938984,0.01217993709240731,0.00283745575233982,1.8184561348639067e-07,0.00827954474549949,0.10749725755112988,179.78002891680072,0.21645021645021648,0.5261652993826462,0.1761327489654705,0.17281973582790872,0.08394473240405624,0.10749725755112988,5.140804781645919,0.21645021645021648,4.7103293777981445
p4 FM1,0,21499,0.5,0.010032488548388084,0.0069150837380211215,0.0881844827258652,33.104761904761936,0.2720588235294117,0.9430074592944736,0.12822859388651892,0.3178911699835285,0.00024259512968958618,0.12660372345520576,0.006821712965346243,0.0881844827258652,0.2720588235294117,0.0559983221021521,0.024917250648018405,0.9787226242531912,0.017287375476494195,0.0022972049270892072,3.039213580548997e-05,0.005258154323207404,0.0881844827258652,168.23064665815656,0.2720588235294117,0.4902817793154986,0.2320935955189989,0.2904217363941265,0.07474384247171023,0.0881844827258652,4.559030685751461,0.2720588235294117,7.6194378220013785
p4 FM1,0,21505,0.5,0.009857418458023223,0.006970957909638323,0.08638394529901973,32.07027417027418,0.31428571428571433,1.0758315294107208,0.15003792816636488,0.35492283752220416,0.00024582211547892404,0.13499514927418155,0.007864219184189144,0.08638394529901973,0.31428571428571433,0.05193092299756357,0.028293306600871475,1.1851653318436326,0.01873017378337961,0.002349567668968881,0.00020263594608532255,0.006165224594748753,0.08638394529901973,163.4691519139814,0.31428571428571433,0.4609165052213766,0.32084216699653145,0.27029821630562306,0.07267262240585269,0.08638394529901973,4.508624141851866,0.31428571428571433,9.111273458395546
p4 FM1,0,21514,0.4,0.010811592241247649,0.008107090047565432,0.09863742877791216,35.019841269841315,0.2285714285714285,0.7735573157134779,0.15456030333580076,0.2531957246785236,0.00026040279860271333,0.16485263822639767,0.007919723230934591,0.09863742877791216,0.2285714285714285,0.06033179079698942,0.02072272141530772,1.4359750837533818,0.014819771167020691,0.0026328136479490108,8.220834129240628e-08,0.007252264252397716,0.09863742877791216,163.86648438069338,0.2285714285714285,0.5389335956781224,0.1953564144531448,0.2244158184349629,0.07987730710498935,0.09863742877791216,4.840949844984957,0.2285714285714285,5.941879611109397
p4 FM1,0,21516,0.3333333333333333,0.010961569251807315,0.009443623903126731,0.10461078721387074,34.521428571428594,0.2368421052631579,0.7767539353744441,0.18378695467363854,0.22196607252907,0.00026398567041949954,0.17430423773125528,0.00928733182334408,0.10461078721387074,0.2368421052631579,0.060151528205731074,0.020363885957564942,2.1785307504704496,0.012906786998315026,0.002768982145081049,3.712609282416127e-08,0.010540557783117079,0.10461078721387074,167.6434167333507,0.2368421052631579,0.5357244579365891,0.2052700982673657,0.1696945932163382,0.08064105285925904,0.10461078721387074,5.027408076682291,0.2368421052631579,5.797550980625161
p4 FM1,0,21517,0.3333333333333333,0.01161187666643441,0.009169505502746478,0.10773952626929346,37.28214285714283,0.2121212121212121,0.6739566854001988,0.18276886640105466,0.2271856479393252,0.00027843915379127356,0.2292333667050184,0.009055533778895992,0.10773952626929346,0.2121212121212121,0.06283776816547247,0.0181248134855276,1.7097310512084658,0.012816423671252538,0.002821030392239573,1.0874834547665723e-06,0.00813043201383163,0.10773952626929346,165.0147946696748,0.2121212121212121,0.5615830372817829,0.16143360934131476,0.17736997624824044,0.08573930300906132,0.10773952626929346,5.0623246157886514,0.2121212121212121,5.091101163247167
p4 FM1,0,21520,0.4,0.011139727975171885,0.007990329607796942,0.09863111984551737,36.16944444444446,0.2315789473684211,0.7536257201119796,0.18607350394732008,0.2956063536054865,0.00027553480037127134,0.2091839295805176,0.009531381818579808,0.09863111984551737,0.2315789473684211,0.0605206603132805,0.019745211578067363,1.8331215064636983,0.016710273493981274,0.00287456366668646,0.00013928856480287358,0.008462846529255025,0.09863111984551737,162.9751899240655,0.2315789473684211,0.5318313348799997,0.1809099684052049,0.2138138437839939,0.0831963614389688,0.09863111984551737,4.841967149840524,0.2315789473684211,5.900771806805929
