,F1,Acc,precision,Auc
train tissue 0,0.0,49.999999999999964,0.0,0.492177314211212
train tissue 1,0.0,49.999999999999986,0.0,0.5018796992481201
train tissue 2,0.0,50.0,0.0,0.5474999999999999
train tissue 3,0.0,49.999999999999986,0.0,0.5218181818181818
train tissue 4,0.0,50.0,0.0,0.5827922077922078
train tissue 5,0.0,49.999999999999986,0.0,0.5761904761904763
train tissue 6,0.0,50.000000000000014,0.0,0.415204678362573
train tissue 7,0.0,50.00000000000002,0.0,0.4993368700265255
train tissue 8,0.0,49.999999999999986,0.0,0.6659663865546217
train tissue 9,0.0,50.000000000000014,0.0,0.4303104077906271
train tissue 10,0.0,49.999999999999964,0.0,0.5736842105263158
train tissue 11,0.0,50.0,0.0,0.5373134328358207
train tissue 12,0.0,49.999999999999986,0.0,0.513227513227513
train tissue 13,0.0,50.0,0.0,0.5814151747655585
train tissue 14,0.0,50.00000000000002,0.0,0.38802660753880275
train tissue 15,0.0,49.99999999999998,0.0,0.4265151515151512
train tissue 16,0.0,50.0,0.0,0.6379084967320262
train tissue 17,0.0,49.99999999999997,0.0,0.5307692307692307
train tissue 18,0.0,49.999999999999986,0.0,0.6760343481654956
train mean,0.0,49.99999999999999,0.0,0.5314773888458137
train std,0.0,1.6782874073260303e-14,0.0,0.07905352258686785
test tissue 0,0.0,50.0,0.0,0.5838041431261773
test tissue 1,0.0,50.000000000000014,0.0,0.6238785369220152
test tissue 2,0.0,50.0,0.0,0.47575757575757616
test tissue 3,0.0,49.999999999999986,0.0,0.4185185185185183
test tissue 4,0.0,49.999999999999964,0.0,0.43089960886571005
test tissue 5,0.0,50.000000000000014,0.0,0.510854816824966
test tissue 6,0.0,50.0,0.0,0.395596590909091
test tissue 7,0.0,50.00000000000002,0.0,0.5795454545454545
test mean,0.0,50.0,0.0,0.5023569056836885
test std,0.0,1.703821625409574e-14,0.0,0.08036771390712993
