,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.583,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5342
split 1,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5813,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5243
split 2,17.07,49.96,1.24,0.0,33.44,33.25,33.33,66.42,0.0,0.5799,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5424
split 3,17.6,50.06,2.75,0.0,33.7,38.5,33.42,82.09,0.0,0.5767,17.45,49.23,3.12,0.0,33.02,23.86,32.93,38.65,0.0,0.545
split 4,17.7,49.91,3.19,0.0,33.6,31.62,33.35,61.52,0.0,0.5841,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5421
split 5,17.0,49.91,1.08,0.0,33.37,29.76,33.3,55.99,0.0,0.5834,17.62,50.17,2.7,0.0,33.79,44.5,33.49,100.0,0.0,0.5444
mean,17.12,49.97,1.38,0.0,33.46,25.89,33.34,44.34,0.0,0.5814,16.96,49.9,0.97,0.0,33.36,18.8,33.29,23.11,0.0,0.5387
std,0.41,0.05,1.23,0.0,0.14,10.79,0.04,32.34,0.0,0.0025,0.41,0.31,1.38,0.0,0.23,12.4,0.17,37.17,0.0,0.0074
test mean,16.666666666666668,49.999999999999986,0.0,0.0,33.333333333333336,11.11111111111111,33.33333333333333,0.0,0.0,0.5933356490516153,16.666666666666668,50.0,0.0,0.0,33.33333333333333,11.111111111111112,33.33333333333334,0.0,0.0,0.5188784687733128
test std,1.4126013033262622e-14,3.931751334702004e-14,0.0,0.0,6.758609538418212e-15,1.2300855034606016e-14,3.596430683500483e-14,0.0,0.0,0.04997213692304116,1.3469892657361183e-14,3.940150075155706e-14,0.0,0.0,5.617333549722722e-15,1.1783018260144473e-14,3.552713678800501e-14,0.0,0.0,0.04278345949306665
