,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.558,0.0,50.0,0.0,0.5138
split 1,2.25,50.46,83.58,0.5235,6.32,50.62,61.54,0.6009
split 2,0.0,50.0,0.0,0.5397,0.0,50.0,0.0,0.4465
split 3,0.0,50.0,0.0,0.5448,0.0,50.0,0.0,0.3792
split 4,0.0,50.0,0.0,0.5515,0.0,50.0,0.0,0.5578
split 5,0.0,50.0,0.0,0.5475,0.0,50.0,0.0,0.5477
mean,0.38,50.08,13.93,0.5442,1.05,50.1,10.26,0.5077
std,0.84,0.17,31.15,0.0108,2.36,0.23,22.93,0.0743
test mean,0.0,50.0,0.0,0.5391354943073079,0.0,50.00000000000001,0.0,0.5115368158161072
test std,0.0,1.8078648421039906e-14,0.0,0.09364514146521634,0.0,1.6852000649168165e-14,0.0,0.05796302646771127
