plant,time point,cell,clustering coefficient,information centrality,eigenvector centrality,page rank,katz centrality,harmonic centrality,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,algebraic connectivity on 2 neighborhood,weighted node degree.1,clustering coefficient.1,information centrality.1,eigenvector centrality.1,page rank.1,katz centrality.1,current flow betweenness centrality.1,harmonic centrality.1,abs graph density on 2 neighborhood.1,rel graph density on 2 neighborhood.1,avg path length on 2 neighborhood.1,algebraic connectivity on 2 neighborhood.1,weighted node degree.2,clustering coefficient.2,information centrality.2,eigenvector centrality.2,page rank.2,katz centrality.2,current flow betweenness centrality.2,harmonic centrality.2,abs graph density on 2 neighborhood.2,rel graph density on 2 neighborhood.2,avg path length on 2 neighborhood.2,algebraic connectivity on 2 neighborhood.2,clustering coefficient.3,information centrality.3,betweenness centrality.3,eigenvector centrality.3,page rank.3,katz centrality.3,load centrality.3,harmonic centrality.3,abs graph density on 2 neighborhood.3,rel graph density on 2 neighborhood.3,algebraic connectivity on 2 neighborhood.3
ktnP3,1,152,0.5,0.0027913290360397,0.050955311700628,0.002102448165696,0.0476323745916651,66.43238705738743,0.2483660130718954,4.222222222222222,0.7270995702385651,0.2227115235385484,0.1678472852109975,0.0001106623626471,0.0003969527741888,0.0024243181317967,0.0476323745916651,0.0553143919786028,1887.8469587942643,0.2483660130718954,4.222222222222222,0.0779510181142491,0.0261214252884168,2.0689610532114844,0.0606689334838877,0.0009525357718655,0.0009207797057708,0.0023770651382072,0.0476323745916651,0.0504822913625621,267.10619741977746,0.2483660130718954,4.222222222222222,0.6014614811251778,0.2472138435668164,0.2735083438944763,0.0186931552419847,0.0402216090923139,0.0215610381382916,0.0019194781805407,0.0476323745916651,0.040277389860113,9.905331456076352,0.2483660130718954,4.222222222222222,5.237093672347451
ktnP3,1,155,0.4,0.0028006091599072,0.0373398245572615,0.0024660936896572,0.0512515814863868,65.91054915157117,0.261437908496732,4.444444444444445,0.8974188832427078,0.3019093422382053,0.1633251581059106,0.0001129238418489,0.0048154607112632,0.0028524259307613,0.0512515814863868,0.0618018739621245,1797.1594518519803,0.261437908496732,4.444444444444445,0.0956772090368165,0.0388119461995935,2.3537157471836485,0.0517880027250573,0.0009444534062147,0.0072715276486336,0.0023770097779581,0.0512515814863868,0.0515399985384029,246.8064014311692,0.261437908496732,4.444444444444445,0.6660449541194475,0.2616207576916639,0.2211500527269332,0.0192012908966439,0.042280784581008,0.046982299462735,0.0024144935315662,0.0512515814863868,0.0418696081062277,9.72396483551661,0.261437908496732,4.444444444444445,5.777741998956526
ktnP3,1,160,0.2857142857142857,0.0031348253775269,0.1225832505237812,0.0031666181795506,0.0619675140209646,71.98723359973376,0.2055335968379446,4.521739130434782,0.6280206935353654,0.2964873541481585,0.0975270096844288,0.0001217085269032,0.0037744945812935,0.002771533711398,0.0619675140209646,0.0704430317965029,2168.960578335473,0.2055335968379446,4.521739130434782,0.0898389227790097,0.0254690642103397,3.493629831634661,0.0361871901323873,0.0010552211807215,3.608926943957822e-06,0.0037465569802476,0.0619675140209646,0.0781199855597132,274.41228259870303,0.2055335968379446,4.521739130434782,0.7182100258313889,0.2133129151548544,0.1660631584025561,0.021430921692526,0.0993909345864334,0.0450880923350529,0.0033809045600746,0.0619675140209646,0.0990885882556105,10.474668469218836,0.2055335968379446,4.521739130434782,4.488842216750922
ktnP3,1,163,0.4,0.0029118393375968,0.0573055407805486,0.0024612483649417,0.052814184736475,68.22481129981162,0.231578947368421,4.4,0.6987755854730533,0.2219049260661738,0.1212212423521597,0.0001109783637331,0.0003933332313393,0.0024484378863785,0.052814184736475,0.0612691090964793,2052.172752272907,0.231578947368421,4.4,0.0787978469547512,0.0245453487097744,2.285236138760151,0.0438266186241321,0.000980858788731,0.0010811123679431,0.0026101559654725,0.052814184736475,0.0660642885955107,269.8422446169501,0.231578947368421,4.4,0.6179029334758346,0.2060636570965344,0.2289123201799482,0.0199876407182896,0.0539676761039907,0.0206798881887343,0.0024009590385717,0.052814184736475,0.0535495391628732,9.823725606190228,0.231578947368421,4.4,5.100981406294346
ktnP3,1,169,0.2857142857142857,0.0029059922286645,0.0582954668295903,0.0032904777479708,0.06036038833392,65.48870198429064,0.2333333333333333,4.666666666666667,0.76460781754012,0.2524770112305554,0.0784705019500065,0.0001071813197477,0.0002550665036865,0.0029844044540536,0.06036038833392,0.0653481475214046,2081.2399959107724,0.2333333333333333,4.666666666666667,0.0728422152081584,0.0242723371422523,3.105477617381678,0.0300878733577795,0.0009548766439529,0.0001895831934608,0.0037547725231406,0.06036038833392,0.0697470493053896,263.82172694277807,0.2333333333333333,4.666666666666667,0.6270817272911582,0.2284014704342274,0.1737719206356529,0.0202360261493517,0.0320157969304452,0.0113107191104232,0.0037804417104825,0.06036038833392,0.0314489522612409,9.15255419982844,0.2333333333333333,4.666666666666667,5.8547578406243295
ktnP3,1,176,0.2857142857142857,0.0031424186293354,0.1102028808637323,0.0031680207047539,0.0618031764830123,71.4153790653793,0.2055335968379446,4.521739130434782,0.5988107197727955,0.2608551732640984,0.084554205283211,0.0001188755628936,0.0014820663501626,0.0026380048094773,0.0618031764830123,0.0699767113715713,2211.8860449980893,0.2055335968379446,4.521739130434782,0.0849952015430931,0.0233662466697618,2.801448632585321,0.031349443760234,0.0010209461296037,8.407310358985042e-06,0.0032356274192344,0.0618031764830123,0.0727380246361259,287.4966881718661,0.2055335968379446,4.521739130434782,0.6969986564265815,0.192143953650561,0.1719792806109261,0.0217453003055092,0.0442165686101924,0.0417528608245693,0.0035213437911754,0.0618031764830123,0.0445977143050006,10.203556222004812,0.2055335968379446,4.521739130434782,4.162645188248228
ktnP3,1,177,0.3333333333333333,0.0029574198599725,0.0746033432922367,0.0028119974216518,0.0564893349879119,67.8735791985795,0.2368421052631578,4.5,0.8174533188079577,0.2618707069816957,0.110102769957641,0.0001155590004717,0.0374764860093499,0.0024683725736266,0.0564893349879119,0.0591701889634697,1936.647593113059,0.2368421052631578,4.5,0.0942587118331302,0.0339595951981779,2.3282422317895373,0.0349942152528812,0.0009988001997573,1.0979131934480576e-05,0.0024432566407449,0.0564893349879119,0.0690596528353252,254.73677654277955,0.2368421052631578,4.5,0.673168531255003,0.2493852912604612,0.1814457281741461,0.0201972487344636,0.0334079503339406,0.0058794763249613,0.0029188355049529,0.0564893349879119,0.033635995603315,9.924530345916352,0.2368421052631578,4.5,5.073133743225761
ktnP3,1,178,0.5,0.0027632876577623,0.0730117040147582,0.0021034895907945,0.046926406995498,66.15175102675147,0.2916666666666667,4.375,0.929088655893454,0.2514324164187194,0.1927741672367182,0.0001130164374394,0.002528252957281,0.0024681720565897,0.046926406995498,0.0420757060779502,1854.041875740446,0.2916666666666667,4.375,0.0739018233585335,0.0349175301704473,1.7560520027942428,0.0532491725305939,0.000907445928237,2.368694529872793e-06,0.0021467585011536,0.046926406995498,0.0340544201731305,262.5185660296996,0.2916666666666667,4.375,0.6006964480540625,0.2818352687187305,0.244698015817703,0.0178575474907259,0.0244948918556177,0.0131920707078453,0.0017744924661342,0.046926406995498,0.0243250232634126,10.294492735181494,0.2916666666666667,4.375,6.374086777428549
ktnP3,1,181,0.4,0.0030018173279627,0.0838994570834754,0.0024233906815646,0.0542046876984919,70.41258741258768,0.1976284584980237,4.3478260869565215,0.5868873029204997,0.1907426218042681,0.1061596439394311,0.0001114064004592,0.0004441068465406,0.0021193894487692,0.0542046876984919,0.0591372079858659,2205.8624314511344,0.1976284584980237,4.3478260869565215,0.0822320019006322,0.0204815713673606,1.6647854757819731,0.0375782397041107,0.0009427005430905,4.0903319105938415e-05,0.0020782900127448,0.0542046876984919,0.0557200383255618,286.3933990148351,0.1976284584980237,4.3478260869565215,0.6750189012165361,0.1591572066958255,0.2538967016786011,0.0209992353630962,0.0319399710440094,0.0341711830126249,0.0025914181795326,0.0542046876984919,0.0317546786170413,9.75192588707964,0.1976284584980237,4.3478260869565215,4.1523036591017615
ktnP3,1,193,0.3333333333333333,0.0029419651575326,0.0959993058185863,0.0028091295186895,0.0576093085604458,67.5379523254527,0.2164502164502164,4.545454545454546,0.6913938256687799,0.264201026154613,0.1056944174480642,0.0001130704800191,0.0006909142121009,0.0027155814269957,0.0576093085604458,0.062527123671841,2000.856096083393,0.2164502164502164,4.545454545454546,0.0896412496035461,0.02528703829089,2.794620173163818,0.0357646365490145,0.0009938300315112,4.142606085379689e-06,0.0031430340078424,0.0576093085604458,0.0703822979114168,265.183419005745,0.2164502164502164,4.545454545454546,0.6487501026438048,0.2161432319994892,0.1931951204637063,0.0205414888574047,0.0372469260748616,0.0930848690451231,0.0030007979291717,0.0576093085604458,0.0368481080851074,9.487214600214648,0.2164502164502164,4.545454545454546,4.763271212362904
