,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4826,0.0,50.0,0.0,0.5442
split 1,0.0,50.0,0.0,0.4973,0.0,50.0,0.0,0.4699
split 2,0.0,50.0,0.0,0.4775,0.0,50.0,0.0,0.5222
split 3,0.0,50.0,0.0,0.5058,0.0,50.0,0.0,0.4981
split 4,0.0,50.0,0.0,0.4947,0.0,50.0,0.0,0.5271
split 5,0.0,50.0,0.0,0.4981,0.0,50.0,0.0,0.4062
mean,0.0,50.0,0.0,0.4927,0.0,50.0,0.0,0.4946
std,0.0,0.0,0.0,0.0097,0.0,0.0,0.0,0.046
test mean,0.0,50.0,0.0,0.4936338040139563,0.0,50.00000000000001,0.0,0.4960760302678473
test std,0.0,1.6623791107849736e-14,0.0,0.06648851045102644,0.0,1.5688358818848954e-14,0.0,0.07115839064202595
