,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,20.41,50.24,3.22,7.78,34.71,60.35,33.74,83.36,63.96,0.5902,17.66,49.43,0.0,3.55,32.86,18.26,33.21,0.0,21.58,0.5202
split 1,17.91,50.1,0.33,3.29,33.81,69.3,33.47,100.0,74.43,0.5824,17.24,48.88,0.0,2.84,32.68,20.98,32.72,0.0,30.21,0.4765
split 2,19.91,50.47,2.39,6.88,34.58,58.46,33.88,88.09,53.41,0.5768,19.01,49.28,1.23,6.52,33.4,35.92,33.14,15.6,59.03,0.5477
split 3,21.69,50.33,4.68,10.06,35.18,55.18,33.9,64.92,66.71,0.5876,18.87,49.08,1.68,5.85,33.32,38.36,32.97,30.12,52.0,0.5415
split 4,24.61,49.59,0.0,24.24,35.58,26.63,34.19,0.0,45.69,0.5769,19.9,47.61,0.0,12.08,32.32,21.17,32.43,0.0,31.09,0.5806
split 5,26.12,50.12,1.38,26.86,36.49,46.9,34.73,58.64,47.32,0.5826,21.53,47.96,0.0,16.63,33.15,24.42,32.82,0.0,40.42,0.5502
mean,21.78,50.14,2.0,13.18,35.06,52.8,33.98,65.83,58.59,0.5828,19.03,48.71,0.48,7.91,32.96,26.52,32.88,7.62,39.06,0.5361
std,2.81,0.27,1.63,9.0,0.84,13.46,0.4,32.55,10.54,0.005,1.42,0.68,0.7,4.9,0.38,7.75,0.26,11.56,13.01,0.032
test mean,19.51880696542486,49.8875977593064,1.2808727094441377,7.387950427524034,34.136676677793,25.723585985312763,33.53129452225009,6.428571428571429,37.21089200511679,0.582144157589106,18.809110319660306,49.20262247022946,0.0,7.224708488751476,33.258847151306654,19.986712047164023,33.13120088997953,0.0,26.828935251512533,0.5608621705576176
test std,2.4490958399844818,1.1231265059247937,3.956346900356208,7.418985883448808,1.3185536503050643,10.528447572910842,0.7430024896303528,22.208045364497178,31.101839883078213,0.053026882621235394,3.053829499606406,1.5040167567439144,0.0,8.292946438232091,2.186685480010406,10.552149980635797,0.9630407123194907,0.0,30.989092809066836,0.046590126251240864
