,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,32.95,49.28,14.1,35.46,38.38,41.6,36.42,46.37,42.01,0.5938,24.31,49.91,7.06,15.97,34.38,32.71,34.73,29.99,33.43,0.5232
split 1,30.66,50.21,7.31,34.46,38.23,43.94,36.06,51.24,44.54,0.5887,22.58,40.54,7.05,20.15,28.45,25.84,29.41,20.51,27.59,0.4754
split 2,29.05,47.82,0.42,38.93,37.07,38.25,35.28,38.19,41.27,0.5881,25.51,43.01,1.29,32.22,32.04,33.49,33.35,37.19,29.92,0.5083
split 3,26.5,50.29,0.78,28.44,36.6,44.99,35.14,55.76,44.07,0.5863,22.58,45.8,0.0,21.94,31.86,20.7,32.39,0.0,29.7,0.4884
split 4,29.62,50.51,6.75,31.6,37.85,44.55,35.85,53.15,44.66,0.5892,22.76,46.75,2.52,19.02,32.46,31.79,32.62,31.12,31.64,0.5188
split 5,32.16,48.46,14.48,33.53,37.54,41.13,35.66,46.92,40.8,0.5863,28.03,42.52,8.54,33.03,33.12,34.02,31.86,34.32,35.88,0.5318
mean,30.16,49.43,7.31,33.74,37.61,42.41,35.73,48.61,42.89,0.5888,24.3,44.76,4.41,23.72,32.05,29.76,32.39,25.52,31.36,0.5076
std,2.12,1.01,5.6,3.24,0.62,2.35,0.44,5.7,1.58,0.0025,1.98,3.09,3.26,6.54,1.81,4.87,1.61,12.53,2.7,0.0198
test mean,27.31022721125577,49.38829861206649,7.485242990554103,25.057140031146712,36.6378760487002,37.036350418922815,34.87408763682735,35.02862352621667,41.20634009372442,0.5860964541317765,23.084085688329687,46.84211213355905,1.0980640219602673,21.31208090946974,33.38179977986726,25.655492625204253,33.23867548945452,15.27821688270629,28.449585503451946,0.5199964176403197
test std,7.013292430821509,4.5593261792629605,10.012098263553892,13.422713178171023,4.548438927858901,17.308438239036256,3.3009143623119477,39.380517895249184,22.785143616349426,0.05048861803699172,3.5893429522109024,4.103972422168095,1.9214033162156843,13.21832891842158,2.386358323801582,7.970802560394507,2.249151486885734,32.83784404104238,13.074503987721513,0.052941115840302894
