,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,60.84,64.14,65.99,52.38,60.91,60.79,63.08,65.94,53.35,0.7793,48.03,45.25,57.32,41.53,48.69,48.58,51.73,50.65,43.35,0.6803
split 1,58.04,59.69,64.49,49.93,58.21,58.02,61.11,61.53,51.42,0.7583,60.07,67.31,68.67,44.22,60.96,59.92,64.81,64.38,50.56,0.8067
split 2,60.48,65.46,67.1,48.87,60.99,60.43,63.59,63.69,54.01,0.7877,51.23,55.04,52.44,46.22,51.27,51.39,52.57,55.57,46.04,0.7084
split 3,57.54,58.98,62.56,51.09,57.53,57.56,59.91,62.02,50.75,0.7526,56.77,63.29,66.98,40.05,57.86,56.63,59.53,63.23,47.11,0.7895
split 4,58.49,61.48,64.42,49.55,58.7,58.4,61.05,62.22,51.93,0.7657,60.58,64.56,66.95,50.23,60.99,60.55,63.5,63.43,54.72,0.7705
split 5,58.88,61.72,64.52,50.41,59.07,58.82,61.82,62.05,52.6,0.7665,59.34,64.37,65.32,48.32,59.8,59.3,62.85,61.91,53.14,0.7709
mean,59.04,61.91,64.85,50.37,59.24,59.0,61.76,62.91,52.34,0.7683,56.0,59.97,62.95,45.1,56.59,56.06,59.17,59.86,49.15,0.7544
std,1.22,2.28,1.42,1.13,1.3,1.2,1.26,1.51,1.11,0.0119,4.75,7.6,5.96,3.58,4.85,4.54,5.21,5.03,4.01,0.0449
test mean,56.384795432691384,59.30245068589013,61.593714698755754,48.25822091342828,57.58949980204341,57.56150059524723,60.011151090706576,60.29093897679816,52.38241171823695,0.7578555888124231,55.25448938450798,59.458158320740964,63.49999130735059,42.80531852543238,56.56666963578773,57.41623088571298,59.37124304809107,61.11993867882502,51.75751093022282,0.7567107936600563
test std,8.667155037155615,12.24368287575396,15.097244870123985,10.08469773085085,8.427344043409049,8.595158852914148,9.216350174486719,12.26451210104847,9.72737279121341,0.07743315481755196,6.868213960446157,12.04076359791201,7.200467531037598,9.510289367677064,7.431378851398235,7.847627814027138,8.319613125080796,3.827747461371653,15.42387600485407,0.050079347978488835
