,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.6022,0.0,50.0,0.0,0.5023
split 1,0.0,50.0,0.0,0.5847,0.0,50.0,0.0,0.4791
split 2,1.86,50.41,88.46,0.5943,0.0,50.0,0.0,0.4872
split 3,0.0,50.0,0.0,0.5916,0.0,50.0,0.0,0.5007
split 4,0.0,50.0,0.0,0.5993,0.0,50.0,0.0,0.4146
split 5,3.27,50.67,83.61,0.5669,0.0,49.17,0.0,0.5034
mean,0.85,50.18,28.68,0.5898,0.0,49.86,0.0,0.4812
std,1.27,0.27,40.58,0.0117,0.0,0.31,0.0,0.0311
test mean,0.0,50.0,0.0,0.5883112608096358,0.0,50.0,0.0,0.515236257611968
test std,0.0,1.7632193132083764e-14,0.0,0.08841357967214274,0.0,1.9131948672901813e-14,0.0,0.07512230847409923
