,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5099,0.0,50.0,0.0,0.4328
split 1,0.0,50.0,0.0,0.5039,0.0,50.0,0.0,0.5354
split 2,0.0,50.0,0.0,0.507,0.0,50.0,0.0,0.517
split 3,0.0,50.0,0.0,0.5306,0.0,50.0,0.0,0.4589
split 4,0.0,50.0,0.0,0.4762,0.0,50.0,0.0,0.5587
split 5,0.0,50.0,0.0,0.5201,0.0,50.0,0.0,0.4674
mean,0.0,50.0,0.0,0.5079,0.0,50.0,0.0,0.495
std,0.0,0.0,0.0,0.0168,0.0,0.0,0.0,0.0449
test mean,0.0,50.0,0.0,0.4937330823685031,0.0,50.0,0.0,0.5392210517738183
test std,0.0,1.7632193132083764e-14,0.0,0.0559165946995109,0.0,1.879919374704706e-14,0.0,0.038253716358300674
