,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,45.07,50.06,41.51,43.64,45.59,46.3,42.83,48.3,47.78,0.635,30.37,38.3,16.16,36.65,32.35,31.07,34.37,26.43,32.41,0.5051
split 1,42.03,48.27,32.57,45.26,43.36,44.88,40.05,48.97,45.61,0.6181,30.38,39.1,21.78,30.27,32.13,32.97,31.45,35.92,31.55,0.5107
split 2,44.94,46.44,41.04,47.34,45.2,45.76,42.29,49.08,45.93,0.6349,29.97,44.81,16.91,28.2,33.47,32.39,34.49,29.77,32.9,0.5149
split 3,42.63,50.89,32.46,44.54,44.47,47.29,41.08,55.24,45.54,0.6315,34.4,36.1,29.05,38.04,34.59,34.38,35.31,31.43,36.39,0.5056
split 4,44.22,49.33,37.99,45.33,44.85,45.34,42.94,47.2,45.87,0.6259,32.11,27.76,28.55,40.04,32.81,32.43,29.86,32.63,34.8,0.4999
split 5,42.8,48.94,35.91,43.55,43.83,45.35,40.42,49.63,46.0,0.6311,27.02,41.56,12.5,27.0,31.33,31.19,30.91,29.18,33.49,0.4856
mean,43.62,48.99,36.91,44.94,44.55,45.82,41.6,49.74,46.12,0.6294,30.71,37.94,20.82,33.37,32.78,32.4,32.73,30.89,33.59,0.5036
std,1.18,1.41,3.63,1.28,0.77,0.79,1.14,2.57,0.76,0.0059,2.23,5.31,6.25,5.06,1.04,1.12,2.07,2.96,1.6,0.0093
test mean,38.3309171336126,41.64037683942735,31.249821121423214,42.102553439987275,41.70373353856828,44.777246769660394,39.147742288649084,49.69680393343692,45.48719408689518,0.6222945389988451,33.05019109262278,38.98845554218916,22.94072822674547,37.22138950893372,35.090046714972196,36.79336226632445,36.31237238283578,37.6485283446429,36.41918607149468,0.5273942125267892
test std,6.196909493709286,14.642697360198598,15.861653434826755,7.5511049333012545,5.101348589122327,5.489535820881218,9.784952143533102,10.238955967495885,8.730957617255214,0.04889782332579955,3.5500443485163347,7.288508057211172,10.983085698209525,5.015945005769666,2.597491395978937,4.418012785315783,4.5872359232312885,14.29011410765975,6.772072353929892,0.02783515629485622
