,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5332,0.0,50.0,0.0,0.4723
split 1,0.0,50.0,0.0,0.5304,0.0,50.0,0.0,0.4827
split 2,0.0,50.0,0.0,0.5282,0.0,50.0,0.0,0.4881
split 3,0.0,50.0,0.0,0.5332,0.0,50.0,0.0,0.5225
split 4,0.0,50.0,0.0,0.5337,0.0,50.0,0.0,0.4774
split 5,0.0,50.0,0.0,0.5168,0.0,50.0,0.0,0.4767
mean,0.0,50.0,0.0,0.5292,0.0,50.0,0.0,0.4866
std,0.0,0.0,0.0,0.0059,0.0,0.0,0.0,0.0168
test mean,0.0,50.0,0.0,0.5231569130689885,0.0,50.000000000000014,0.0,0.4606335134090816
test std,0.0,1.5028750209624192e-14,0.0,0.04709872091279602,0.0,1.6280579355608324e-14,0.0,0.10188917091146985
