,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4752,0.0,50.0,0.0,0.473
split 1,0.0,50.0,0.0,0.4793,0.0,50.0,0.0,0.4426
split 2,0.0,50.0,0.0,0.474,0.0,50.0,0.0,0.4805
split 3,0.0,50.0,0.0,0.5087,0.0,50.0,0.0,0.5098
split 4,0.0,50.0,0.0,0.4753,0.0,50.0,0.0,0.4641
split 5,0.0,50.0,0.0,0.4689,0.0,50.0,0.0,0.5149
mean,0.0,50.0,0.0,0.4802,0.0,50.0,0.0,0.4808
std,0.0,0.0,0.0,0.0131,0.0,0.0,0.0,0.0252
test mean,0.0,50.0,0.0,0.4764646511061849,0.0,50.0,0.0,0.500168299099965
test std,0.0,1.2089121657132305e-14,0.0,0.0858035900687905,0.0,1.4210854715202004e-14,0.0,0.05486252522560274
