,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5824,0.0,50.0,0.0,0.4714
split 1,0.0,50.0,0.0,0.5846,0.0,50.0,0.0,0.5108
split 2,0.0,50.0,0.0,0.5986,0.0,50.0,0.0,0.4999
split 3,0.0,50.0,0.0,0.5939,0.0,50.0,0.0,0.4867
split 4,0.0,50.0,0.0,0.589,0.0,50.0,0.0,0.5191
split 5,0.0,50.0,0.0,0.5789,0.0,50.0,0.0,0.5221
mean,0.0,50.0,0.0,0.5879,0.0,50.0,0.0,0.5017
std,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.018
test mean,0.0,50.0,0.0,0.5690191583559593,0.0,50.00000000000001,0.0,0.5021930906188402
test std,0.0,1.6623791107849736e-14,0.0,0.07311471235733523,0.0,1.5688358818848954e-14,0.0,0.07113900369127188
