,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,3.68,50.75,83.5,0.5787,1.95,50.27,68.34,0.5015
split 1,2.14,50.43,82.54,0.5467,10.98,52.29,81.82,0.6177
split 2,4.15,50.82,81.14,0.5647,0.0,50.0,0.0,0.557
split 3,3.56,50.73,83.16,0.5836,2.19,50.32,70.0,0.4858
split 4,3.58,50.7,80.74,0.5617,0.0,50.0,0.0,0.5069
split 5,0.0,50.0,0.0,0.545,0.0,50.0,0.0,0.5263
mean,2.85,50.57,68.51,0.5634,2.52,50.48,36.69,0.5325
std,1.42,0.28,30.66,0.0145,3.89,0.82,36.94,0.0442
test mean,3.4342796053547833,50.735184598088836,27.787590217718723,0.5597382072632695,1.2977099236641225,50.023828976034864,9.883720930232558,0.5184175126611119
test std,5.270994125607898,1.32125900987338,41.47435026364178,0.0572045638387855,3.433417731915882,0.9744583253221524,26.149867609359326,0.04966925585540627
