,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,40.88,49.9,41.22,31.52,42.78,44.9,39.35,46.82,48.55,0.6372,30.01,40.54,27.8,21.69,30.71,29.79,36.62,28.55,24.2,0.4796
split 1,41.73,50.96,40.85,33.38,43.46,45.0,40.46,48.11,46.41,0.6287,31.65,44.44,26.74,23.76,33.74,33.64,35.94,28.16,36.81,0.4937
split 2,40.54,50.54,32.51,38.56,42.21,42.84,40.76,43.55,44.22,0.6314,28.29,42.42,23.76,18.68,31.06,30.05,33.01,33.51,23.64,0.5078
split 3,40.59,49.68,38.13,33.96,42.12,43.26,39.76,46.27,43.75,0.6278,26.79,40.83,16.81,22.72,30.08,29.11,31.1,27.04,29.19,0.5062
split 4,41.85,49.79,38.99,36.76,43.08,44.33,40.28,47.7,45.0,0.6254,32.22,40.94,26.06,29.65,33.69,34.18,32.89,35.81,33.84,0.5167
split 5,41.31,50.63,37.11,36.19,42.93,44.39,40.23,47.49,45.45,0.6301,22.41,42.3,21.0,3.94,29.66,25.85,30.02,34.61,12.91,0.4948
mean,41.15,50.25,38.14,35.06,42.76,44.12,40.14,46.65,45.56,0.6301,28.56,41.91,23.69,20.07,31.49,30.44,33.26,31.28,26.76,0.4998
std,0.52,0.48,2.89,2.35,0.47,0.8,0.46,1.51,1.58,0.0037,3.32,1.34,3.79,7.93,1.63,2.82,2.38,3.46,7.8,0.012
test mean,37.05459852255891,50.14033792030816,32.937490502547554,28.085967144821012,40.87801261792885,41.75163573838058,39.68482708827554,40.27650870246283,45.293571424403375,0.6239810315780719,27.92438905549309,41.145636190469894,24.11096258476942,18.516568391239964,31.56433937764582,29.694546921604235,33.85528512024948,30.477987123191276,24.750368521371946,0.4827438291991173
test std,7.622915858728747,4.076740169792806,14.283054247475784,13.549682068916729,5.418593138380528,10.496347927224445,3.9765362518732243,14.536514597181835,19.836517106172327,0.040389440471512564,5.3183098542740135,7.394544139384038,10.350259745818514,11.760712999634519,4.684941855959483,6.292730523231195,3.9844837291395674,8.71894068087542,12.224005347049134,0.02207031390492946
