,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.6011,0.0,50.0,0.0,0.4824
split 1,0.0,50.0,0.0,0.593,0.0,50.0,0.0,0.451
split 2,0.0,50.0,0.0,0.6051,0.0,50.0,0.0,0.5174
split 3,0.0,50.0,0.0,0.6067,0.0,50.0,0.0,0.505
split 4,0.0,50.0,0.0,0.594,0.0,50.0,0.0,0.4925
split 5,0.0,50.0,0.0,0.6023,0.0,50.0,0.0,0.5487
mean,0.0,50.0,0.0,0.6004,0.0,50.0,0.0,0.4995
std,0.0,0.0,0.0,0.0052,0.0,0.0,0.0,0.0302
test mean,0.0,50.0,0.0,0.5859542993810176,0.0,50.00000000000001,0.0,0.4705564702641294
test std,0.0,1.6623791107849736e-14,0.0,0.08103999376932948,0.0,1.5688358818848954e-14,0.0,0.041186653544423635
