,F1,Acc,precision,Auc
test tissue 0,85.37313432835822,86.07954545454545,89.937106918239,0.875
test tissue 1,57.142857142857174,70.0,100.0,0.94
test tissue 2,48.2758620689655,65.90909090909088,100.0,0.796969696969697
test tissue 3,76.48456057007128,72.8021978021978,67.36401673640171,0.8076923076923077
test tissue 4,51.61290322580645,67.39130434782612,100.0,0.7701863354037267
test tissue 5,40.0,62.5,100.0,0.97
test tissue 6,72.13114754098359,67.3076923076923,62.857142857142854,0.8365384615384616
test tissue 7,64.86486486486487,74.0,100.0,0.8844444444444444
test tissue 8,37.49999999999999,61.53846153846153,100.0,0.9346153846153846
test mean,59.265036637989674,69.72536581775712,91.12869627908707,0.8683829589626691
test std,15.647928017571962,6.994936765521801,14.289315317215795,0.06631856819474828
