,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4845,0.0,50.0,0.0,0.5447
split 1,0.0,50.0,0.0,0.4952,0.0,50.0,0.0,0.511
split 2,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.5039
split 3,0.0,50.0,0.0,0.4891,0.0,50.0,0.0,0.5429
split 4,0.0,50.0,0.0,0.5019,0.0,50.0,0.0,0.4992
split 5,0.0,50.0,0.0,0.504,0.0,50.0,0.0,0.4736
mean,0.0,50.0,0.0,0.4958,0.0,50.0,0.0,0.5125
std,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0249
test mean,0.0,50.0,0.0,0.49630519050503363,0.0,50.00000000000001,0.0,0.4800991783804671
test std,0.0,1.4022623163127864e-14,0.0,0.074194129725585,0.0,2.1316282072803006e-14,0.0,0.08144268931457126
