,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,23.51,50.44,7.99,12.1,35.62,47.46,34.24,51.62,56.53,0.5976,19.41,49.65,3.74,4.82,33.47,34.39,33.5,24.31,45.36,0.5396
split 1,25.56,50.77,13.61,12.29,36.43,47.29,34.7,51.91,55.25,0.5947,21.74,47.29,10.65,7.3,31.93,35.34,32.8,20.89,52.34,0.5378
split 2,27.89,51.54,11.95,20.19,37.76,49.65,35.48,60.56,52.9,0.6059,26.23,49.56,7.72,21.41,35.26,35.54,34.66,30.12,41.84,0.5363
split 3,20.61,50.34,7.34,4.14,34.66,48.12,33.88,54.01,56.48,0.5963,19.14,48.52,6.08,2.82,32.78,33.41,32.76,47.06,20.4,0.5141
split 4,26.6,50.57,20.61,8.62,36.55,45.11,34.91,46.2,54.23,0.6021,19.88,44.66,14.99,0.0,29.58,18.52,31.3,24.27,0.0,0.4968
split 5,29.58,50.7,14.0,24.05,37.84,46.22,35.33,51.65,51.68,0.6021,20.51,46.07,2.06,13.4,30.48,22.52,32.17,10.83,24.56,0.5383
mean,25.63,50.73,12.58,13.57,36.47,47.31,34.76,52.66,54.51,0.5998,21.15,47.62,7.54,8.29,32.25,29.95,32.86,26.25,30.75,0.5271
std,2.93,0.39,4.41,6.72,1.12,1.42,0.56,4.26,1.79,0.0039,2.43,1.83,4.32,7.19,1.88,6.8,1.05,10.97,17.76,0.0162
test mean,19.800301478252,49.73761776355834,6.171614428171887,3.4916722430257634,34.01956100557772,32.044019038943006,33.50791047090287,37.662476035680754,24.96167061024541,0.5891473997097727,19.895850154458603,48.869739100365024,2.566474893172134,8.251336469838652,33.105974589911966,27.829627953558052,33.228537406759074,18.44347716989226,31.816869284022815,0.5197072390133716
test std,2.887373295695092,1.9246992580279858,7.414643713069523,4.468561214314611,1.8573243248942444,17.289024201389875,1.170609945136019,40.35967861674283,33.45478026508201,0.03646417139163864,2.5559751836987936,2.5189337670850183,3.5796665853627543,8.727100303220787,2.1083445460390338,16.48308473922445,1.3051852032870928,32.57804966062232,31.888133011634714,0.03384294217028882
