,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,81.75,81.99,82.84,0.9127,76.24,68.83,61.6,0.9312
split 1,93.94,93.99,94.79,0.9882,76.32,72.73,67.44,0.8384
split 2,89.05,89.36,91.73,0.9682,66.46,61.97,59.44,0.734
split 3,75.53,76.24,77.84,0.8418,83.33,83.33,83.33,0.9142
split 4,69.96,72.47,77.0,0.8086,77.89,78.12,78.72,0.8802
split 5,80.28,80.69,82.03,0.8878,88.06,87.5,84.29,0.9446
mean,81.75,82.46,84.37,0.9012,78.05,75.41,72.47,0.8738
std,7.98,7.33,6.68,0.0639,6.69,8.64,10.08,0.0716
