,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,29.2,50.26,9.37,27.98,37.37,42.43,35.34,44.76,47.19,0.6009,19.64,48.85,2.36,7.73,32.98,31.39,33.07,15.67,45.44,0.5457
split 1,22.85,50.57,0.7,17.29,35.53,51.1,34.35,68.3,50.65,0.5925,24.49,50.49,11.22,11.75,35.47,43.82,34.64,63.68,33.15,0.4794
split 2,26.01,51.32,4.75,21.97,37.03,49.83,35.21,63.06,51.21,0.5979,19.49,48.04,0.0,10.44,32.64,23.12,32.52,0.0,36.85,0.5213
split 3,25.6,50.87,6.18,19.75,36.63,48.86,34.81,59.06,52.72,0.597,22.86,48.46,1.68,18.45,33.49,29.23,33.58,19.63,34.48,0.5118
split 4,23.44,50.67,3.18,16.46,35.73,51.61,34.46,71.0,49.39,0.5919,24.25,48.43,4.77,19.54,34.54,47.76,33.37,69.66,40.23,0.5282
split 5,25.48,50.5,6.82,19.11,36.18,43.08,34.64,41.91,52.69,0.5916,27.07,47.07,12.6,21.55,34.29,38.73,33.34,48.15,34.7,0.5694
mean,25.43,50.7,5.17,20.43,36.41,47.82,34.8,58.01,50.64,0.5953,22.97,48.56,5.44,14.91,33.9,35.68,33.42,36.13,37.48,0.526
std,2.05,0.33,2.75,3.81,0.66,3.69,0.37,11.07,1.93,0.0035,2.71,1.03,4.8,5.16,0.97,8.55,0.64,25.9,4.22,0.0279
test mean,23.329311629093848,51.31749986413559,3.1672716069175393,15.50316341622842,36.40297327753837,30.593249286380406,35.447232605934815,16.13232128696046,40.20019396624595,0.6008190500579864,21.08133813237691,42.06611499952905,1.296296296296296,19.881603101305384,34.1609147399194,20.3633177642089,29.308254252818312,3.804347826086956,27.977351213721434,0.5562723753230523
test std,7.4552376781914464,5.388217154520951,7.583564291540296,18.295998238029295,5.4510435314573975,15.651280246679212,5.092058667886738,34.0013977968947,35.08972271341281,0.06411999449890753,4.84285618889711,16.271827823335745,3.4296776254540986,20.485203810737943,2.104152158740057,6.535203153684557,11.156693780996472,10.065358248615288,19.305271720353506,0.04426647707541999
