,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,40.21,50.11,29.95,40.55,42.28,43.84,39.62,46.32,45.58,0.6209,27.29,37.46,4.83,39.58,32.54,32.51,34.34,31.88,31.31,0.5212
split 1,34.45,51.14,33.6,18.61,40.09,45.95,36.88,49.07,51.9,0.6166,23.19,48.62,20.94,0.0,33.19,21.91,34.23,31.5,0.0,0.487
split 2,27.25,51.25,26.59,3.91,37.46,45.12,35.47,50.69,49.21,0.6114,26.45,47.29,30.89,1.15,34.62,28.44,34.11,37.61,13.58,0.5245
split 3,36.26,50.24,32.04,26.49,40.36,45.32,36.74,50.55,48.67,0.6224,31.1,48.13,31.71,13.45,36.78,39.06,35.09,41.54,40.54,0.5472
split 4,33.14,51.23,22.33,25.84,39.04,43.3,36.74,44.99,48.18,0.6157,25.99,44.26,16.23,17.46,31.92,32.22,31.76,31.04,33.85,0.5114
split 5,33.14,49.77,17.22,32.45,38.59,43.08,36.24,49.68,43.32,0.6053,28.22,46.62,9.5,28.54,34.27,35.94,34.46,40.71,32.66,0.5509
mean,34.07,50.62,26.95,24.64,39.64,44.44,36.95,48.55,47.81,0.6154,27.04,45.4,19.02,16.7,33.88,31.68,34.0,35.71,25.32,0.5237
std,3.89,0.6,5.71,11.44,1.52,1.08,1.28,2.15,2.73,0.0058,2.39,3.81,10.04,14.12,1.59,5.47,1.05,4.41,13.98,0.0216
test mean,31.256522951931803,50.98205536051879,24.183704237024944,18.60380925825165,38.976690641228615,44.85082523806515,36.26025949405785,49.19149835949509,49.10071786064251,0.620251776390762,25.093763399404914,45.74979764974346,12.52984886261587,17.00164368585542,32.74216853392248,30.305254322776392,32.873787722861714,34.43367026576082,23.608304979706645,0.5167451869389864
test std,6.6257261495828566,2.602656236024905,15.208883023377092,12.880881769891097,4.296061377246698,11.033526303038036,2.169972996699031,20.96758836242074,30.370933627384215,0.047730362527996735,2.8525687345157644,3.4642725675900983,9.039804475057894,12.769339002507232,3.094364711541763,10.380947668686407,2.3248569637261403,27.256571166499754,17.289728284108158,0.03279569762416886
