,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,18.27,50.21,4.58,0.0,33.96,32.78,33.58,64.75,0.0,0.5855,17.19,50.31,1.27,0.0,33.55,19.86,33.61,25.96,0.0,0.5341
split 1,17.75,50.25,1.42,1.6,33.8,52.09,33.57,53.52,69.19,0.5817,16.76,50.29,0.0,0.0,33.33,11.2,33.59,0.0,0.0,0.5665
split 2,17.77,50.21,0.41,2.68,33.8,52.47,33.54,55.16,68.72,0.5795,17.92,49.87,0.0,3.88,33.66,33.18,33.33,0.0,66.22,0.5695
split 3,18.71,50.2,1.56,4.37,34.04,51.78,33.62,67.52,54.19,0.5894,17.34,49.26,0.0,2.76,32.72,17.57,33.05,0.0,19.64,0.5483
split 4,16.8,50.02,0.37,0.0,33.4,44.45,33.35,100.0,0.0,0.5884,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5353
split 5,17.72,50.07,1.1,2.0,33.67,52.44,33.46,76.53,47.32,0.5828,19.13,49.93,0.0,7.46,34.01,29.53,33.49,0.0,55.1,0.5491
mean,17.84,50.16,1.58,1.77,33.78,47.67,33.52,69.58,39.9,0.5845,17.5,49.94,0.21,2.35,33.43,20.41,33.4,4.33,23.49,0.5504
std,0.58,0.08,1.42,1.52,0.21,7.24,0.09,15.64,29.24,0.0036,0.83,0.35,0.47,2.74,0.39,8.43,0.19,9.68,27.37,0.0137
test mean,16.90114426616745,50.05402480397343,0.6494079945289213,0.0,33.44617977189972,13.805745641299643,33.38152263818464,8.035714285714286,0.0,0.5835348816927242,16.666666666666668,49.99999999999999,0.0,0.0,33.33333333333333,11.11111111111111,33.33333333333333,0.0,0.0,0.5446250399819655
test std,0.738680633742824,0.1587658943193624,2.0631307098335308,0.0,0.35904009686357896,8.264210201652116,0.14162434310543534,24.65354731623624,0.0,0.0339365579032815,7.32410687763558e-15,1.9939556069065078e-14,0.0,0.0,6.646518689688359e-15,6.023919126296978e-15,1.8288713016877624e-14,0.0,0.0,0.03664272192323543
