,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5584,0.0,50.0,0.0,0.507
split 1,0.0,50.0,0.0,0.5522,0.0,50.0,0.0,0.4542
split 2,0.0,50.0,0.0,0.559,0.0,50.0,0.0,0.4469
split 3,0.0,50.0,0.0,0.566,0.0,50.0,0.0,0.468
split 4,0.0,50.0,0.0,0.5595,0.0,50.0,0.0,0.5075
split 5,0.0,50.0,0.0,0.5471,0.0,50.0,0.0,0.479
mean,0.0,50.0,0.0,0.557,0.0,50.0,0.0,0.4771
std,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0236
test mean,0.0,50.00000000000001,0.0,0.5443254096338298,0.0,50.0,0.0,0.5220678358150825
test std,0.0,1.4117052668876551e-14,0.0,0.05126183874169783,0.0,2.1900397950137233e-14,0.0,0.06536745818470126
