,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,82.51,81.98,80.15,0.8944,69.27,74.65,87.92,0.8697
split 1,82.52,82.29,81.44,0.9063,81.24,76.9,68.4,0.8937
split 2,83.54,83.09,81.39,0.9126,69.58,72.3,77.13,0.8259
split 3,76.03,76.36,77.1,0.8331,79.7,77.08,71.52,0.8522
split 4,81.23,80.76,79.31,0.8869,77.44,77.54,77.8,0.8579
split 5,81.63,81.18,79.74,0.896,75.15,74.69,73.8,0.8527
mean,81.25,80.95,79.85,0.8882,75.4,75.53,76.1,0.8587
std,2.44,2.18,1.46,0.026,4.62,1.84,6.18,0.0204
