,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5172,0.0,50.0,0.0,0.5906
split 1,0.0,50.0,0.0,0.5064,0.0,50.0,0.0,0.5711
split 2,0.0,50.0,0.0,0.5303,0.0,50.0,0.0,0.5196
split 3,0.0,50.0,0.0,0.5448,0.0,50.0,0.0,0.4788
split 4,0.0,50.0,0.0,0.539,0.0,50.0,0.0,0.5229
split 5,0.0,50.0,0.0,0.5379,0.0,50.0,0.0,0.505
mean,0.0,50.0,0.0,0.5293,0.0,50.0,0.0,0.5313
std,0.0,0.0,0.0,0.0134,0.0,0.0,0.0,0.0382
test mean,0.0,50.00000000000001,0.0,0.506990968887051,0.0,49.99999999999999,0.0,0.5127018501609767
test std,0.0,1.572008455159306e-14,0.0,0.04361824454199108,0.0,1.96205025865255e-14,0.0,0.0929389481795581
