,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,38.68,49.24,24.44,42.36,41.65,45.14,38.59,53.08,43.77,0.6199,31.54,38.64,19.83,36.14,33.28,33.35,33.12,33.56,33.37,0.5192
split 1,33.41,50.46,12.73,37.05,39.44,44.8,37.1,53.76,43.55,0.6091,28.12,44.44,2.99,36.92,35.09,57.52,32.69,100.0,39.88,0.465
split 2,34.28,50.19,14.8,37.85,39.73,44.79,37.16,53.32,43.9,0.607,32.97,43.75,16.43,38.72,36.13,36.6,35.87,37.87,36.05,0.5467
split 3,36.95,49.58,17.63,43.63,41.18,45.55,39.22,55.67,41.75,0.6072,28.58,44.23,10.27,31.25,33.51,33.05,33.31,31.35,34.48,0.5533
split 4,36.09,50.56,18.82,38.89,40.66,45.84,38.07,56.41,43.04,0.6118,24.88,48.92,10.55,15.17,34.47,36.46,33.9,33.91,41.59,0.514
split 5,32.79,48.89,7.28,42.2,39.21,44.45,37.25,54.28,41.81,0.5983,24.75,45.57,6.48,22.19,31.94,30.17,32.86,28.34,29.31,0.5564
mean,35.37,49.82,15.95,40.33,40.31,45.1,37.9,54.42,42.97,0.6089,28.47,44.26,11.09,30.07,34.07,37.86,33.62,44.17,35.78,0.5258
std,2.07,0.63,5.32,2.5,0.91,0.48,0.8,1.22,0.88,0.0064,3.07,3.04,5.67,8.6,1.35,9.06,1.08,25.13,4.08,0.0316
test mean,30.779481091003667,46.03793917176766,10.295311971070308,36.00519213017302,37.448956677390264,38.889249640855965,36.715133980361784,39.047435091902926,40.905179850303185,0.5968304525392298,30.95309433914599,40.72953967899413,17.442933841437966,34.68680949700586,36.049623415999854,40.73921119002134,35.442233339617054,50.05738856679673,36.718011663650216,0.5243931115130288
test std,5.043359772419154,10.066782587099404,10.426419171668437,9.975278522884576,4.48239941220152,11.468675301269618,6.181477035285437,29.87241688519748,13.205745807429501,0.07073167161310868,2.937342841423064,12.643856778254607,10.830154990449955,8.644791939940108,3.809143803477577,10.637757700622528,4.056690444332021,24.6516823527177,10.77262677882202,0.030844215493744567
