,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train TPR,train FPR,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val TPR,val FPR,val Auc
split 0,42.93,48.25,47.43,33.12,43.97,49.8,28.01,0.6042,34.48,39.57,36.03,27.84,35.22,39.52,32.39,0.5302
split 1,37.49,45.77,42.84,23.86,39.55,44.02,30.22,0.5719,34.24,45.6,41.35,15.76,37.4,44.72,31.3,0.5369
split 2,42.82,45.13,41.44,41.91,42.93,38.54,28.53,0.6134,35.24,42.07,36.7,26.96,35.77,32.52,32.11,0.5322
split 3,39.98,44.87,44.55,30.52,40.91,48.07,29.55,0.5925,34.58,38.64,43.22,21.89,35.77,47.97,32.11,0.5349
split 4,41.04,44.81,45.68,32.62,41.65,47.67,29.18,0.5986,35.52,41.3,37.86,27.4,36.04,37.4,31.98,0.522
mean,40.85,45.76,44.39,32.41,41.8,45.62,29.1,0.5961,34.81,41.44,39.03,23.97,36.04,40.42,31.98,0.5312
std,2.02,1.29,2.1,5.79,1.54,4.01,0.77,0.0139,0.49,2.41,2.79,4.63,0.73,5.44,0.37,0.0052
testing,45.9,51.57,44.18,41.95,46.37,41.56,26.81,0.6431,33.54,36.2,30.19,34.24,33.66,28.39,33.17,0.4938
