,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,80.22,80.03,79.47,0.8784,73.55,73.38,73.08,0.8211
split 1,78.33,78.41,78.65,0.872,77.45,73.52,67.46,0.851
split 2,71.74,63.39,58.42,0.7655,69.96,64.02,60.05,0.7125
split 3,63.65,67.37,71.83,0.7402,75.05,72.29,68.26,0.7701
split 4,80.17,79.61,78.01,0.872,77.05,77.04,77.02,0.8438
split 5,81.33,81.06,80.2,0.8875,79.4,78.11,74.98,0.8598
mean,75.91,74.98,74.43,0.8359,75.41,73.06,70.14,0.8097
std,6.32,6.93,7.66,0.0594,3.06,4.54,5.66,0.0525
testing,81.44,81.08,79.92,0.8948,71.9,74.95,81.87,0.8687
