,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,3.68,50.75,83.5,0.5665,1.95,50.27,68.34,0.5104
split 1,2.14,50.43,82.54,0.5705,7.5,51.63,85.71,0.5659
split 2,4.15,50.82,81.14,0.5722,0.0,50.0,0.0,0.5457
split 3,3.56,50.73,83.16,0.5807,2.19,50.32,70.0,0.4821
split 4,3.58,50.7,80.74,0.5762,0.0,50.0,0.0,0.555
split 5,0.0,50.0,0.0,0.5856,0.0,50.0,0.0,0.4943
mean,2.85,50.57,68.51,0.5753,1.94,50.37,37.34,0.5256
std,1.42,0.28,30.66,0.0064,2.65,0.58,37.75,0.0316
test mean,3.4342796053547833,50.735184598088836,27.787590217718723,0.5602433754447957,1.2977099236641225,50.023828976034864,9.883720930232558,0.5067548857933944
test std,5.270994125607898,1.32125900987338,41.47435026364178,0.06915319520199734,3.433417731915882,0.9744583253221524,26.149867609359326,0.03499465104646869
