,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,82.7,83.3,85.79,0.9182,62.98,67.18,72.21,0.7746
split 1,80.22,80.77,82.57,0.8979,76.39,75.65,74.14,0.8184
split 2,84.44,84.77,86.33,0.9231,54.72,65.62,80.13,0.7321
split 3,80.18,80.58,81.86,0.8969,76.05,73.75,69.93,0.7949
split 4,83.2,83.72,85.98,0.9207,66.39,72.58,85.75,0.8175
split 5,81.73,82.18,83.85,0.9173,73.84,75.64,79.73,0.8234
mean,82.08,82.55,84.4,0.9124,68.4,71.74,76.98,0.7935
std,1.55,1.53,1.75,0.0107,7.88,3.95,5.4,0.0322
