,F1,c0 F1,c1 F1,c2 F1,Acc,precision,c0 precision,c1 precision,c2 precision,Auc
train tissue 0,42.37255540490494,46.823257604928806,43.05437490839809,37.24003370138795,43.117905056759554,46.62109426643824,40.81710942744799,39.460534092740865,59.58563927912588,0.5892299474030243
train tissue 1,50.97485071931438,44.831503218477856,57.286171408803945,50.806877530661346,50.929054054054056,53.85015045712942,40.63143445435826,53.119486768243796,67.79953014878622,0.6634467120181406
train tissue 2,30.51245803557266,51.14754098360659,17.268445839874406,23.121387283236984,35.942760942760934,36.48871407942215,37.86407766990293,22.821576763485478,48.78048780487805,0.6561865569272977
train tissue 3,24.21269498852512,40.49683618467305,26.659441885667846,5.481806895234458,30.135743321718934,28.935772728142137,29.238578680203027,35.26881720430108,22.299922299922297,0.5780805803352613
train tissue 4,46.982579294689494,47.03386084342674,50.15290519877672,43.760971841865036,47.07317073170733,47.363322360654855,43.480629869776045,50.306748466257645,48.30258874593086,0.6719511333945342
train tissue 5,17.843459222769567,34.48275862068966,0.0,19.047619047619044,23.333333333333336,14.832535885167465,26.31578947368421,0.0,18.18181818181818,0.48214285714285715
train tissue 6,57.26492003687815,64.86486486486488,65.75342465753425,41.17647058823529,58.730158730158735,61.14647390944726,52.17391304347828,77.41935483870968,53.84615384615385,0.8223593964334704
train tissue 7,48.517669879105505,58.62834660294999,52.90615628858705,34.01850674577947,50.55120923087914,50.91117610097996,48.36597665282924,54.47115712047946,49.896394529631166,0.6782678225738574
train tissue 8,44.33570005562397,47.54149702474163,49.706812439415856,35.75879070271441,44.707949055775146,44.305713627030066,45.313432835820905,48.02112438208111,39.582583663188196,0.5888355342136855
train tissue 9,45.55201290408176,56.586690810321436,41.15983811055052,38.90950979137334,47.627873563218394,49.976168998760706,44.35770049680629,57.666614882709354,47.90419161676647,0.6322843428880476
train tissue 10,34.35654961980594,48.98624009335348,28.12850015273391,25.954908613330417,38.479443390259334,41.753632652708056,36.034908258521455,42.71687026441934,46.50911943518337,0.6200237058414286
train tissue 11,37.20668220668221,50.256410256410255,36.36363636363637,25.0,42.26190476190476,67.30615507593924,35.251798561151084,66.66666666666666,100.0,0.6412742382271468
train tissue 12,48.82321104715934,53.754090482619745,45.38717859451932,47.32836406433896,48.98811278121624,48.96420611120282,50.319180840580955,45.960918614020954,50.61251887900655,0.6376412849494348
train tissue 13,47.451036364658115,44.53000385017326,42.654630086748,55.16847515705311,47.17046238785369,49.043613451928344,38.725724672342864,46.87645326306,61.52866242038216,0.6515277777777777
train tissue 14,45.313357210525886,46.544428772919595,38.54818523153942,50.84745762711863,44.34343434343434,53.62616106727131,43.53562005277043,32.83582089552238,84.50704225352112,0.69234404536862
train tissue 15,42.49541002290365,49.83730905454804,38.88818727251136,38.760733741651535,42.904424545378255,42.61018069985604,45.300067946572256,40.861394884551856,41.669079268444,0.6205747605164514
train tissue 16,51.83993644116405,36.810730253353206,63.762699988321856,54.9463790818171,53.96311291048133,55.078873692374124,59.41070354780518,56.19596541786747,49.629952111449725,0.6063829787234042
train tissue 17,41.841216261294356,45.28618855245792,31.070678796361083,49.16678143506405,42.742448330683615,42.18308663456657,45.57604057644314,37.60587238848107,43.36734693877552,0.6118009901793686
train tissue 18,44.84116394170354,48.1675543069225,41.461994945909915,44.89394257227819,45.07489282307685,45.32564002494106,44.33369115166389,47.58568437517823,44.05754454798104,0.6460348526478227
train mean,42.24934019249276,48.24263749375993,40.53754011420474,37.967842969513654,44.10933654182389,46.33277220126105,42.476125169060964,45.045319015198764,51.4768724195234,0.6363362903979806
train std,9.469079244630768,6.961501712262996,15.331264954800375,12.95427642253581,7.905903294143376,11.107553294611048,7.551049933159745,16.022198075770298,18.157349351896194,0.0632134525844116
test tissue 0,25.84932438339207,45.5688797894121,10.752079678569418,21.22701368219468,31.041189931350115,27.29267125124515,34.1816586222027,20.828765621574217,26.86758950995854,0.486775927852931
test tissue 1,29.827688651218068,42.424242424242436,31.37254901960785,15.686274509803924,30.95238095238095,29.672006102212055,36.8421052631579,34.78260869565218,17.39130434782609,0.48734504132231404
test tissue 2,38.1747673493613,29.372496662216296,40.723981900452486,44.42782348541511,39.52861952861952,41.617579777443716,43.30708661417323,46.272493573264775,35.27315914489312,0.535
test tissue 3,18.181818181818183,54.545454545454554,0.0,0.0,33.333333333333336,12.500000000000002,37.50000000000001,0.0,0.0,0.5599999999999999
test tissue 4,32.49909353663419,40.051388448987026,26.093860789411487,31.35203137150405,34.00419891404635,36.17640165416739,31.077880821621264,33.894256137691514,43.5570680031894,0.5097333333333334
test tissue 5,30.021673211625156,45.3254635558773,19.49078138718173,25.248774691816433,33.325384207737144,32.055748863727345,34.878738538006715,27.819548872180444,33.46895918099487,0.5450157419570067
test tissue 6,43.18694255198792,33.78027497552461,46.00381598473606,49.77673669570309,43.52956989247312,43.28102104521705,35.77030559812495,48.50245864997764,45.570298887548574,0.5525655864197531
test tissue 7,40.12378537892264,50.742992000658646,35.41077844311377,34.21758569299552,42.494192799070866,45.948206995304055,38.82624671916016,44.81629683521282,54.202077431539195,0.5966752175443891
test mean,32.233136655619944,42.72639905029663,26.2309809003841,27.742030016179104,36.02610869487643,33.5679544611646,36.54800277205586,32.114553548194195,32.04130706324372,0.534138856053716
test std,7.63619072164329,7.781367920240701,14.512177319171926,14.927039908553034,4.738549664878594,10.123721176606805,3.368632505004103,15.073948824778263,16.152648632559373,0.03547309805799886
