,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,3.68,50.75,83.5,0.5784,1.95,50.27,68.34,0.5079
split 1,2.14,50.43,82.54,0.5529,10.98,52.29,81.82,0.6091
split 2,4.15,50.82,81.14,0.5638,0.0,50.0,0.0,0.5516
split 3,3.56,50.73,83.16,0.5795,2.19,50.32,70.0,0.488
split 4,3.58,50.7,80.74,0.5614,0.0,50.0,0.0,0.5084
split 5,0.0,50.0,0.0,0.5623,0.0,50.0,0.0,0.49
mean,2.85,50.57,68.51,0.5664,2.52,50.48,36.69,0.5258
std,1.42,0.28,30.66,0.0096,3.89,0.82,36.94,0.0427
test mean,3.4342796053547833,50.735184598088836,27.787590217718723,0.5607368847827005,1.2977099236641225,50.023828976034864,9.883720930232558,0.5256789174936062
test std,5.270994125607898,1.32125900987338,41.47435026364178,0.05713731962152445,3.433417731915882,0.9744583253221524,26.149867609359326,0.04322604002855719
