,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4977,0.0,50.0,0.0,0.4947
split 1,0.0,50.0,0.0,0.4895,0.0,50.0,0.0,0.5002
split 2,0.0,50.0,0.0,0.4984,0.0,50.0,0.0,0.46
split 3,0.0,50.0,0.0,0.5116,0.0,50.0,0.0,0.4493
split 4,0.0,50.0,0.0,0.501,0.0,50.0,0.0,0.4036
split 5,0.0,50.0,0.0,0.5027,0.0,50.0,0.0,0.4423
mean,0.0,50.0,0.0,0.5002,0.0,50.0,0.0,0.4584
std,0.0,0.0,0.0,0.0066,0.0,0.0,0.0,0.0327
test mean,0.0,49.99999999999999,0.0,0.4887662611627749,0.0,50.0,0.0,0.4294796179461126
test std,0.0,1.686185274042142e-14,0.0,0.07343943552766777,0.0,1.6473255640462455e-14,0.0,0.04644631253918741
