,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5008,0.0,50.0,0.0,0.4836
split 1,0.0,50.0,0.0,0.5127,0.0,50.0,0.0,0.5395
split 2,0.0,50.0,0.0,0.5448,0.0,50.0,0.0,0.46
split 3,0.0,50.0,0.0,0.5322,0.0,50.0,0.0,0.5114
split 4,0.0,50.0,0.0,0.5035,0.0,50.0,0.0,0.4424
split 5,0.0,50.0,0.0,0.5252,0.0,50.0,0.0,0.4946
mean,0.0,50.0,0.0,0.5199,0.0,50.0,0.0,0.4886
std,0.0,0.0,0.0,0.0157,0.0,0.0,0.0,0.032
test mean,0.0,50.0,0.0,0.5109198862236063,0.0,50.0,0.0,0.4798549838872533
test std,0.0,1.572008455159306e-14,0.0,0.06163016549987275,0.0,1.1512108063996359e-14,0.0,0.08521941901478079
