,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train TPR,train FPR,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val TPR,val FPR,val Auc
split 0,57.92,55.85,59.4,58.52,58.03,63.66,20.99,0.7619,31.49,27.45,36.92,30.11,31.84,40.45,34.08,0.4819
split 1,59.32,59.33,58.6,60.03,59.34,56.62,20.33,0.7647,29.03,28.73,26.25,32.12,29.21,23.6,35.39,0.4447
split 2,56.89,55.5,56.33,58.82,57.0,55.77,21.5,0.7506,33.45,36.81,29.67,33.86,33.33,30.34,33.33,0.5262
split 3,56.49,57.38,57.88,54.2,56.62,63.1,21.69,0.7519,32.64,35.03,39.8,23.08,33.33,44.94,33.33,0.4876
split 4,56.88,55.41,56.53,58.71,56.93,55.34,21.54,0.7528,27.4,31.14,27.27,23.78,27.27,27.27,36.36,0.4361
mean,57.5,56.7,57.75,58.06,57.58,58.9,21.21,0.7564,30.8,31.83,31.98,28.59,31.0,33.32,34.5,0.4753
std,1.03,1.5,1.18,2.0,1.0,3.69,0.5,0.0058,2.26,3.59,5.4,4.38,2.39,8.07,1.2,0.0324
