plant,time point,dividing parent cell,parent neighbor,dividingCellArea,neighbourCellArea,sharedWall,distance,dividingCellPerimeter,neighbourCellPerimeter
p3 FM6 flower 1,0,13739,13760,48.0027,29.6585,3.5931,7.883293224845819,81704,82392
p3 FM6 flower 1,0,13718,13330,36.1362,37.4467,4.42043,5.9771472421549,67805,68537
p3 FM6 flower 1,0,13718,13336,36.1362,30.9132,7.40632,4.892581304383199,67805,68272
p3 FM6 flower 1,0,13718,13703,36.1362,26.86,2.91408,6.107369872179016,67805,82044
p3 FM6 flower 1,0,13718,13719,36.1362,70.8397,6.80597,6.062201624129636,67805,94588
p3 FM6 flower 1,0,13693,13307,31.4282,33.5831,5.20888,5.551723460908331,81514,68426
p3 FM6 flower 1,0,13693,13330,31.4282,37.4467,7.23875,4.875330262289936,81514,68537
p3 FM6 flower 1,0,13693,13678,31.4282,32.1198,4.79969,5.504689722055187,81514,81926
p3 FM6 flower 1,0,13693,13703,31.4282,26.86,0.949522,7.497088236402186,81514,82044
p3 FM6 flower 1,0,13693,13704,31.4282,46.4348,3.13453,7.355547112764627,81514,95154
p3 FM6 flower 1,0,13693,13792,31.4282,36.0294,3.92141,7.842802741724415,81514,68659
p3 FM6 flower 1,0,13390,13719,25.3015,70.8397,7.60661,7.115662011148364,68317,94588
p3 FM6 flower 1,0,13390,13721,25.3015,87.2162,2.7224,9.552757631364882,68317,122258
p3 FM6 flower 1,0,13390,13741,25.3015,22.2397,1.12734,5.940167410511257,68317,67900
p3 FM6 flower 1,0,13390,13747,25.3015,46.2088,7.01174,5.270594838431432,68317,81350
p3 FM6 flower 1,0,13759,13212,36.2983,26.864,6.03495,5.170494400818941,68018,81634
p3 FM6 flower 1,0,13759,13540,36.2983,26.1758,4.52388,6.299115013587229,68018,95552
p3 FM6 flower 1,0,13759,13749,36.2983,36.0285,4.67813,6.613332652180742,68018,95279
p3 FM6 flower 1,0,13759,13750,36.2983,38.5683,5.13813,7.075058114983931,68018,96250
p3 FM6 flower 1,0,13759,13767,36.2983,30.1162,5.88198,5.796047203016902,68018,81797
p3 FM6 flower 1,0,13673,13264,50.7572,76.8289,3.54379,9.84961286137283,80860,94495
p3 FM6 flower 1,0,13673,13266,50.7572,48.017,4.14961,9.410465588375525,80860,82012
p3 FM6 flower 1,0,13673,13299,50.7572,69.7768,6.76141,7.980875932634218,80860,80569
p3 FM6 flower 1,0,13673,13662,50.7572,41.5857,8.0068,5.537803129626402,80860,67105
p3 FM6 flower 1,0,13673,13681,50.7572,43.1604,0.890646,10.361473820075016,80860,81688
p3 FM6 flower 1,0,13673,13688,50.7572,54.835,7.69275,6.401814029507575,80860,81002
p3 FM6 flower 1,0,13829,13634,71.1287,60.9099,6.18738,8.1570905511708,82510,82518
p3 FM6 flower 1,0,13829,13647,71.1287,43.5415,6.70772,7.043119204585425,82510,82579
p3 FM6 flower 1,0,13829,13788,71.1287,28.4624,4.44044,8.210604005796405,82510,82660
p3 FM6 flower 1,0,13829,13827,71.1287,38.3836,7.04774,7.80666591728505,82510,81883
p3 FM6 flower 1,0,13829,13828,71.1287,56.2798,9.37525,7.737081073867587,82510,109892
p3 FM6 flower 1,0,13679,13266,56.6185,48.017,1.72094,9.666491078648964,108682,82012
p3 FM6 flower 1,0,13679,13307,56.6185,33.5831,4.69778,7.2306250518471815,108682,68426
p3 FM6 flower 1,0,13679,13661,56.6185,67.2798,6.64816,8.719213682144732,108682,81582
p3 FM6 flower 1,0,13679,13672,56.6185,40.4727,4.23272,7.974811884903617,108682,94921
p3 FM6 flower 1,0,13679,13681,56.6185,43.1604,3.06288,8.726197008004117,108682,81688
p3 FM6 flower 1,0,13679,13686,56.6185,36.263,4.36223,7.404988114271355,108682,68092
p3 FM6 flower 1,0,13679,13704,56.6185,46.4348,1.97193,9.583855807685138,108682,95154
