,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,44.22,52.0,37.55,43.11,45.2,45.61,43.91,46.92,46.02,0.6396,26.28,41.67,31.81,5.36,30.7,25.87,33.54,30.07,13.99,0.4954
split 1,41.15,51.37,36.32,35.77,43.04,44.57,40.45,47.72,45.55,0.6273,29.53,42.93,27.53,18.13,32.17,31.51,34.38,28.45,31.68,0.4863
split 2,43.36,48.81,39.22,42.05,43.91,44.38,41.93,44.94,46.27,0.6275,27.05,33.66,10.46,37.04,30.49,31.72,29.15,34.77,31.23,0.5187
split 3,43.0,52.39,36.83,39.78,44.94,48.02,40.68,53.91,49.46,0.6405,29.51,29.49,28.53,30.51,29.54,29.86,33.06,28.39,28.13,0.4658
split 4,42.57,50.76,38.57,38.37,43.79,44.88,41.27,46.11,47.25,0.6304,28.67,45.72,4.36,35.93,34.37,29.44,36.34,18.71,33.28,0.5082
split 5,42.1,51.07,37.4,37.83,43.66,45.5,40.59,44.81,51.09,0.625,35.69,41.41,41.14,24.52,36.88,36.3,37.4,37.94,33.57,0.5205
mean,42.73,51.07,37.65,39.49,44.09,45.49,41.47,47.4,47.61,0.6317,29.46,39.15,23.97,25.25,32.36,30.78,33.98,29.72,28.65,0.4991
std,0.97,1.15,0.99,2.5,0.75,1.21,1.2,3.08,2.01,0.0061,3.04,5.66,12.63,11.01,2.54,3.13,2.64,6.03,6.79,0.0192
test mean,38.830637550492476,48.487457786120494,33.763308820504044,34.241146044852904,42.304541718190855,44.68144174971546,39.99938270050102,47.59079891765529,46.454143630990075,0.609746935805578,29.34046006391158,37.18542733173174,20.11700147154078,30.718951388462216,32.740120883744005,34.91245481450368,31.41613266848332,37.07426268895392,36.24696908607379,0.5080003295669986
test std,7.78178772477131,8.589257532883432,14.722923438841496,13.992064635973065,6.293820573746116,7.945171999872219,6.697827133619029,11.830926300138103,15.354996501755977,0.048909055398489526,5.575274617591259,6.665280102825298,13.19336475346133,9.828923649553044,3.113284341717684,8.712634704671249,3.0535012572595495,27.58179687174027,5.15050928019065,0.03163508164379533
