,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.566,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5268
split 1,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5616,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5455
split 2,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5576,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5503
split 3,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5617,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5389
split 4,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5536,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5823
split 5,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.571,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.467
mean,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5619,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5351
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0348
