,F1,Acc,precision,Auc
test tissue 0,77.31629392971246,79.82954545454545,88.32116788321169,0.8579545454545454
test tissue 1,61.111111111111136,72.00000000000001,100.0,0.8466666666666668
test tissue 2,62.499999999999986,72.7272727272727,100.0,0.8393939393939395
test tissue 3,84.44444444444443,86.53846153846153,100.0,0.8791208791208791
test tissue 4,56.25,69.56521739130439,100.0,0.8198757763975155
test tissue 5,57.14285714285715,70.0,100.0,0.845
test tissue 6,86.95652173913044,88.46153846153848,100.0,0.9038461538461539
test tissue 7,68.42105263157895,76.0,100.0,0.9333333333333333
test tissue 8,69.99999999999997,76.92307692307692,100.0,0.9807692307692308
test mean,69.34914233320384,76.89390138846662,98.70235198702352,0.8784400583313627
test std,10.739363023023609,6.48752851085565,3.6703028382756693,0.04902638865156301
