plant,time point,dividing parent cell,parent neighbor,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood
ktnP1,1,3759,3568,3.0,0.275736251056944,-0.08887333992273282,1.973366821301126e-05,0.026813570629672507,-2.1950903697416234e-05,0.0006149490406344897,0.012666658258035979,0.02812278236529151,0.03531980153162757,0.026813570629672507,21.695664777479465,11.0,66.18962985361424,-0.0342324850334004,0.20594965675057164,0.00867613692029151,-0.029727248752123597,5.0,0.8160681916972986,0.19751144640119586,0.0003822398060208792,0.0,0.00022197159830626172,0.001952998096567671,0.04556622697743499,0.04199638923843021,0.022823760098749805,0.0,482.5267156512628,41.0,204.19517844073863,0.23976608187134504,4.315789473684211,0.3373954433593293,0.12831320672088004
ktnP1,1,3759,3631,1.0,0.1149376290157148,-0.037471127471686794,8.23635073881983e-06,0.02673508231462041,-4.134265915993978e-05,0.0002629724329517931,0.0036396033413345907,0.006841623581402771,0.009012308214288743,0.02673508231462041,26.778557402339857,1.0,8.26052540815931,0.005847953216374269,0.10526315789473717,-0.00629203583540161,-0.013126278018519316,5.0,0.8160681916972986,0.19751144640119586,0.0003822398060208792,0.0,0.00022197159830626172,0.001952998096567671,0.04556622697743499,0.04199638923843021,0.022823760098749805,0.0,482.5267156512628,41.0,204.19517844073863,0.23976608187134504,4.315789473684211,0.3373954433593293,0.12831320672088004
ktnP1,1,3759,3776,2.0,0.24275874393185604,-0.06264921269146129,2.1534194895506662e-05,0.020897513882620726,0.0001338869244036114,0.00045726621259790544,0.008288312681610073,0.017439039012327726,0.024003057448962688,0.020897513882620726,20.589344111507728,6.0,36.35057101602632,-0.015956558061821224,0.16040100250626566,0.021513899615409393,-0.022772564352365923,5.0,0.8160681916972986,0.19751144640119586,0.0003822398060208792,0.0,0.00022197159830626172,0.001952998096567671,0.04556622697743499,0.04199638923843021,0.022823760098749805,0.0,482.5267156512628,41.0,204.19517844073863,0.23976608187134504,4.315789473684211,0.3373954433593293,0.12831320672088004
ktnP1,1,3759,3848,1.0,0.2210575279692425,-0.027294160696739844,2.386929643233385e-05,0.014559582442163923,5.901243747542494e-05,0.00047986360051343983,0.003895802685729928,0.014873545931548389,0.018687499949179218,0.014559582442163923,47.67196498872187,1.0,6.266917067056568,0.005847953216374269,0.10526315789473717,-0.006360236624035176,-0.0016641285009144358,5.0,0.8160681916972986,0.19751144640119586,0.0003822398060208792,0.0,0.00022197159830626172,0.001952998096567671,0.04556622697743499,0.04199638923843021,0.022823760098749805,0.0,482.5267156512628,41.0,204.19517844073863,0.23976608187134504,4.315789473684211,0.3373954433593293,0.12831320672088004
ktnP1,1,3759,3858,1.0,0.12206888109698921,-0.03643686361244727,1.9107122663909932e-05,0.059297922021859,0.00012089652950191451,0.00023298443434358529,0.004089058712591125,0.01025139741344859,0.019242588995228217,0.059297922021859,44.970913997303626,3.0,15.744360490098643,-0.008187134502923965,0.08421052631578974,0.022119646099291568,-0.013725803325914887,5.0,0.8160681916972986,0.19751144640119586,0.0003822398060208792,0.0,0.00022197159830626172,0.001952998096567671,0.04556622697743499,0.04199638923843021,0.022823760098749805,0.0,482.5267156512628,41.0,204.19517844073863,0.23976608187134504,4.315789473684211,0.3373954433593293,0.12831320672088004
ktnP1,1,4070,3613,-2.0,-0.24402443024999232,0.037298080504558684,-4.0016193219714674e-05,-0.0726998018170045,-0.00021403524236419643,-0.00036349571300804684,-0.010292908981067654,-0.022434353653667603,-0.05601717906587417,-0.0726998018170045,-28.171143387036523,-12.0,-63.804243588006784,0.04773709636409865,-0.10087719298245634,-0.06139966599768204,0.025497195728513306,8.0,1.1644022080419019,0.11485264431413766,0.0004053375952352341,0.0915468084688892,0.00043789762917830676,0.002644769282165859,0.05848829058897459,0.07263151604734505,0.07872339347033921,0.0915468084688892,535.0656660560959,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.3806225770932929,0.09061670076244578
ktnP1,1,4070,3630,-1.0,-0.2033930299882032,0.0043578359098537245,-8.7700748606587e-06,0.021966917175205533,-4.551467420943554e-05,-0.0003549442707676382,-0.0030888831202045275,-0.005443491832652997,0.0073575722840343305,0.021966917175205533,12.302127359403471,3.0,22.652316974026178,-0.005362318840579722,0.06333333333333346,-0.02988064005789587,-0.007555443706272383,8.0,1.1644022080419019,0.11485264431413766,0.0004053375952352341,0.0915468084688892,0.00043789762917830676,0.002644769282165859,0.05848829058897459,0.07263151604734505,0.07872339347033921,0.0915468084688892,535.0656660560959,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.3806225770932929,0.09061670076244578
ktnP1,1,4070,3663,-2.0,-0.22047854398328925,0.04445480223822207,-3.3335059701890355e-06,-0.039636599101308796,7.767865391557536e-05,-0.0004728264455729691,-0.007311701649513745,-0.014607246957576252,-0.020447536775236197,-0.039636599101308796,-0.49459300763953706,-3.0,-18.075993606675013,0.0055994729907773155,-0.06884057971014546,-0.009353382915564812,0.008545207953256612,8.0,1.1644022080419019,0.11485264431413766,0.0004053375952352341,0.0915468084688892,0.00043789762917830676,0.002644769282165859,0.05848829058897459,0.07263151604734505,0.07872339347033921,0.0915468084688892,535.0656660560959,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.3806225770932929,0.09061670076244578
ktnP1,1,4070,3894,-1.0,0.0592744435706245,0.03725165586720941,8.165744336863657e-06,-0.028589368757726205,0.0001819767863883186,3.122694829763104e-05,-0.0046399130911064165,-0.011093934615546149,-0.023279542277202483,-0.028589368757726205,-9.918313782048017,-6.0,-29.674471895384357,0.03178053830227742,0.05952380952380931,-0.018755044334317128,0.014471838325927203,8.0,1.1644022080419019,0.11485264431413766,0.0004053375952352341,0.0915468084688892,0.00043789762917830676,0.002644769282165859,0.05848829058897459,0.07263151604734505,0.07872339347033921,0.0915468084688892,535.0656660560959,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.3806225770932929,0.09061670076244578
ktnP1,1,4070,3970,-3.0,-0.24530848974551012,0.09591073123069996,-4.714168338777145e-05,-0.08972195514392796,-0.00022076543020551457,-0.0003946520869054469,-0.015436760460865173,-0.030689416710035528,-0.06792164424319211,-0.08972195514392796,-88.51730379007648,-17.0,-100.34971094555158,0.07267689684569478,-0.1813725490196081,-0.061900473787073695,0.03277123803592856,8.0,1.1644022080419019,0.11485264431413766,0.0004053375952352341,0.0915468084688892,0.00043789762917830676,0.002644769282165859,0.05848829058897459,0.07263151604734505,0.07872339347033921,0.0915468084688892,535.0656660560959,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.3806225770932929,0.09061670076244578
