,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5308,0.0,50.0,0.0,0.5298
split 1,0.0,50.0,0.0,0.5334,0.0,50.0,0.0,0.4898
split 2,0.0,50.0,0.0,0.5448,0.0,50.0,0.0,0.5323
split 3,0.0,50.0,0.0,0.5656,0.0,50.0,0.0,0.4849
split 4,0.0,50.0,0.0,0.5181,0.0,50.0,0.0,0.578
split 5,0.0,50.0,0.0,0.5555,0.0,50.0,0.0,0.3961
mean,0.0,50.0,0.0,0.5414,0.0,50.0,0.0,0.5018
std,0.0,0.0,0.0,0.0159,0.0,0.0,0.0,0.0565
test mean,0.0,50.0,0.0,0.526250256673127,0.0,50.0,0.0,0.5070660130168062
test std,0.0,1.7931065148788005e-14,0.0,0.09074015704327996,0.0,1.8460441789282214e-14,0.0,0.05558156922756632
