plant,time point,dividing parent cell,parent neighbor,weighted node degree_neighbour,clustering coefficient_neighbour,information centrality_neighbour,betweenness centrality_neighbour,eigenvector centrality_neighbour,page rank_neighbour,katz centrality_neighbour,current flow betweenness centrality_neighbour,communicability betweenness centrality_neighbour,load centrality_neighbour,harmonic centrality_neighbour,size on 2 neighborhood_neighbour,estrada index on 2 neighborhood_neighbour,abs graph density on 2 neighborhood_neighbour,rel graph density on 2 neighborhood_neighbour,avg path length on 2 neighborhood_neighbour,algebraic connectivity on 2 neighborhood_neighbour,weighted node degree_div_cell,clustering coefficient_div_cell,information centrality_div_cell,betweenness centrality_div_cell,eigenvector centrality_div_cell,page rank_div_cell,katz centrality_div_cell,current flow betweenness centrality_div_cell,communicability betweenness centrality_div_cell,load centrality_div_cell,harmonic centrality_div_cell,size on 2 neighborhood_div_cell,estrada index on 2 neighborhood_div_cell,abs graph density on 2 neighborhood_div_cell,rel graph density on 2 neighborhood_div_cell,avg path length on 2 neighborhood_div_cell,algebraic connectivity on 2 neighborhood_div_cell,weighted node degree_difference,clustering coefficient_difference,information centrality_difference,betweenness centrality_difference,eigenvector centrality_difference,page rank_difference,katz centrality_difference,current flow betweenness centrality_difference,communicability betweenness centrality_difference,load centrality_difference,harmonic centrality_difference,size on 2 neighborhood_difference,estrada index on 2 neighborhood_difference,abs graph density on 2 neighborhood_difference,rel graph density on 2 neighborhood_difference,avg path length on 2 neighborhood_difference,algebraic connectivity on 2 neighborhood_difference
P9,0,574,542,50.16462,0.23493195161064787,0.02944042651510574,0.027264424744678294,0.07233151279112553,0.002906565213822008,0.056044209239908487,0.04719994137634116,0.037477087043786765,0.02652856468366383,7.954218213842027,44.0,224.32695367522481,0.23157894736842108,4.4,18.525369694736828,5.318110112133514,69.65785,0.16710939968337982,0.032303187039666684,0.0851454359036334,0.07517566313491529,0.0038910824430252074,0.06614613065643474,0.0854105168442928,0.08837856227444937,0.08597748090419487,8.230568560303556,52.0,269.22395451987495,0.20553359683794464,4.521739130434782,19.241866150197634,5.120549825627241,-19.493229999999997,0.06782255192726805,-0.002862760524560942,-0.0578810111589551,-0.002844150343789764,-0.0009845172292031992,-0.01010192141652625,-0.03821057546795163,-0.05090147523066261,-0.059448916220531035,-0.27635034646152956,-8.0,-44.89700084465014,0.026045350530476435,-0.1217391304347819,-0.7164964554608062,0.1975602865062731
P9,0,574,695,34.50668,0.2585273199245631,0.026854253696323774,0.03532243315286069,0.0435618318031594,0.0021249176868352562,0.050597389134777696,0.03210338261492987,0.0238438250527486,0.035657152274291386,8.13954381611647,37.0,183.84380167305204,0.27205882352941174,4.352941176470588,16.784522352941195,6.708086218854005,69.65785,0.16710939968337982,0.032303187039666684,0.0851454359036334,0.07517566313491529,0.0038910824430252074,0.06614613065643474,0.0854105168442928,0.08837856227444937,0.08597748090419487,8.230568560303556,52.0,269.22395451987495,0.20553359683794464,4.521739130434782,19.241866150197634,5.120549825627241,-35.15116999999999,0.09141792024118331,-0.005448933343342909,-0.049823002750772706,-0.03161383133175589,-0.0017661647561899511,-0.015548741521657042,-0.053307134229362924,-0.06453473722170078,-0.05032032862990348,-0.09102474418708617,-15.0,-85.38015284682291,0.0665252266914671,-0.1687979539641944,-2.4573437972564385,1.587536393226764
P9,0,574,778,45.24276,0.2196851850197424,0.029217775730236747,0.05859399578409363,0.04551152682778473,0.0026574266152172964,0.05611126876377562,0.049856257123577316,0.04638175159791862,0.05873438650349706,8.160860372865152,44.0,222.2151039265359,0.23157894736842108,4.4,18.24162767894739,5.753363983762016,69.65785,0.16710939968337982,0.032303187039666684,0.0851454359036334,0.07517566313491529,0.0038910824430252074,0.06614613065643474,0.0854105168442928,0.08837856227444937,0.08597748090419487,8.230568560303556,52.0,269.22395451987495,0.20553359683794464,4.521739130434782,19.241866150197634,5.120549825627241,-24.41509,0.05257578533636259,-0.0030854113094299362,-0.026551440119539763,-0.029664136307130558,-0.001233655827807911,-0.01003486189265912,-0.03555425972071548,-0.04199681067653075,-0.027243094400697804,-0.06970818743840468,-8.0,-47.00885059333905,0.026045350530476435,-0.1217391304347819,-1.0002384712502455,0.6328141581347753
P9,0,574,784,45.288399999999996,0.22126660173807577,0.028777180785952605,0.04602071152007767,0.054396779313749664,0.0026780362851215266,0.055996485638550045,0.04461402778239438,0.03729512814607548,0.04574646942670572,8.160369813807812,44.0,222.1491309652134,0.23157894736842108,4.4,18.152923052631564,5.445115760416083,69.65785,0.16710939968337982,0.032303187039666684,0.0851454359036334,0.07517566313491529,0.0038910824430252074,0.06614613065643474,0.0854105168442928,0.08837856227444937,0.08597748090419487,8.230568560303556,52.0,269.22395451987495,0.20553359683794464,4.521739130434782,19.241866150197634,5.120549825627241,-24.36945,0.05415720205469596,-0.003526006253714079,-0.03912472438355573,-0.020778883821165627,-0.0012130461579036808,-0.010149645017884693,-0.040796489061898415,-0.05108343412837389,-0.04023101147748915,-0.07019874649574476,-8.0,-47.07482355466155,0.026045350530476435,-0.1217391304347819,-1.0889430975660694,0.32456593478884255
P9,0,574,835,49.11575,0.22762877751809424,0.029494320057679053,0.027227366252405905,0.05233059915674491,0.0028571858493285783,0.056346048570715034,0.051948319636624656,0.04213907938974362,0.027983850840655557,7.98134395528144,44.0,222.11212243535692,0.23157894736842108,4.4,18.487678184210512,5.689988335191857,69.65785,0.16710939968337982,0.032303187039666684,0.0851454359036334,0.07517566313491529,0.0038910824430252074,0.06614613065643474,0.0854105168442928,0.08837856227444937,0.08597748090419487,8.230568560303556,52.0,269.22395451987495,0.20553359683794464,4.521739130434782,19.241866150197634,5.120549825627241,-20.542099999999998,0.06051937783471442,-0.0028088669819876302,-0.05791806965122749,-0.022845063978170384,-0.001033896593696629,-0.009800082085719704,-0.03346219720766814,-0.04623948288470575,-0.05799363006353931,-0.24922460502211674,-8.0,-47.11183208451803,0.026045350530476435,-0.1217391304347819,-0.7541879659871213,0.5694385095646162
P9,0,574,902,62.50242300000001,0.20118851554851472,0.03165549311447763,0.040121305192213325,0.061923641428871135,0.0034684327029906596,0.06168517997979412,0.07675611475988237,0.08371693523293668,0.03983728761876943,7.935891133890719,49.0,251.37104655209217,0.2121212121212121,4.454545454545454,19.81699635930738,5.069642733574792,69.65785,0.16710939968337982,0.032303187039666684,0.0851454359036334,0.07517566313491529,0.0038910824430252074,0.06614613065643474,0.0854105168442928,0.08837856227444937,0.08597748090419487,8.230568560303556,52.0,269.22395451987495,0.20553359683794464,4.521739130434782,19.241866150197634,5.120549825627241,-7.155426999999989,0.0340791158651349,-0.0006476939251890551,-0.04502413071142007,-0.013252021706044156,-0.00042264974003454773,-0.004460950676640617,-0.008654402084410429,-0.004661627041512698,-0.046140193285425436,-0.29467742641283756,-3.0,-17.852907967782784,0.006587615283267456,-0.06719367588932812,0.5751302091097479,-0.05090709205244881
P9,0,574,904,38.274567,0.28996504006364754,0.028007036826563792,0.0468260964011792,0.043976753631284206,0.0022642048053012447,0.05232719796920943,0.04060186425937263,0.03653714614081406,0.04683134610421568,7.968987031591928,43.0,214.91930433665578,0.2263157894736842,4.3,18.785935310526323,5.905732852260619,69.65785,0.16710939968337982,0.032303187039666684,0.0851454359036334,0.07517566313491529,0.0038910824430252074,0.06614613065643474,0.0854105168442928,0.08837856227444937,0.08597748090419487,8.230568560303556,52.0,269.22395451987495,0.20553359683794464,4.521739130434782,19.241866150197634,5.120549825627241,-31.383283,0.12285564038026772,-0.0042961502131028916,-0.0383193395024542,-0.031198909503631085,-0.0016268776377239627,-0.01381893268722531,-0.044808652584920165,-0.05184141613363531,-0.039146134799979186,-0.26158152871162876,-9.0,-54.30465018321917,0.02078219263573955,-0.22173913043478244,-0.45593083967131065,0.7851830266333781
P9,0,574,1001,37.203109999999995,0.2784808043718314,0.027556033089438565,0.05307727042337135,0.06020720260679175,0.002235957196741126,0.05154688111589928,0.03424721122809353,0.029419676827329024,0.05296728955602503,8.074872558522726,41.0,206.30512206602108,0.23976608187134504,4.315789473684211,18.18550914619882,5.63905910826059,69.65785,0.16710939968337982,0.032303187039666684,0.0851454359036334,0.07517566313491529,0.0038910824430252074,0.06614613065643474,0.0854105168442928,0.08837856227444937,0.08597748090419487,8.230568560303556,52.0,269.22395451987495,0.20553359683794464,4.521739130434782,19.241866150197634,5.120549825627241,-32.45474,0.11137140468845161,-0.004747153950228119,-0.03206816548026205,-0.01496846052812354,-0.0016551252462840816,-0.014599249540535458,-0.051163305616199264,-0.05895888544712035,-0.033010191348169834,-0.15569600178083043,-11.0,-62.91883245385387,0.0342324850334004,-0.20594965675057164,-1.0563570039988122,0.5185092826333495
P9,0,611,617,28.940545999999998,0.36151901635077327,0.02417465995396813,0.010692997185783577,0.017237021974954175,0.001860457927476356,0.0458370981816852,0.02141266571171297,0.010249261735527471,0.01081242586635226,7.3808992531844675,34.0,169.6974147960166,0.2833333333333333,4.25,16.191403041666664,6.244837150745714,46.723938,0.2239127358305473,0.02770108793132259,0.03442708460350228,0.026072931872726655,0.002797047196339386,0.05558177330192201,0.04284216817171244,0.030766338891239246,0.03454275099630288,7.674955531499365,42.0,216.20438599177237,0.2456140350877193,4.421052631578948,17.858030304093585,6.019117252133766,-17.783392,0.13760628052022597,-0.00352642797735446,-0.0237340874177187,-0.00883590989777248,-0.0009365892688630302,-0.009744675120236808,-0.021429502459999472,-0.020517077155711775,-0.023730325129950616,-0.29405627831489767,-8.0,-46.50697119575577,0.037719298245614014,-0.1710526315789478,-1.6666272624269212,0.2257198986119482
P9,0,611,866,39.20491199999999,0.28484339103773354,0.026482128969710028,0.028569144892734138,0.02014067715418045,0.0023884178910677746,0.05207456874860371,0.03809259081733079,0.028852919331631224,0.028812092209364978,7.491167710753769,44.0,225.67153368885766,0.23157894736842108,4.4,18.231267894736867,5.99307285782188,46.723938,0.2239127358305473,0.02770108793132259,0.03442708460350228,0.026072931872726655,0.002797047196339386,0.05558177330192201,0.04284216817171244,0.030766338891239246,0.03454275099630288,7.674955531499365,42.0,216.20438599177237,0.2456140350877193,4.421052631578948,17.858030304093585,6.019117252133766,-7.519026000000004,0.06093065520718624,-0.001218958961612563,-0.005857939710768142,-0.0059322547185462066,-0.00040862930527161157,-0.0035072045533183008,-0.004749577354381654,-0.0019134195596080227,-0.0057306587869379,-0.18378782074559652,2.0,9.467147697085295,-0.014035087719298234,-0.021052631578947434,0.37323759064328144,-0.026044394311885988
