,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train TPR,train FPR,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val TPR,val FPR,val Auc
split 0,47.84,47.81,48.78,46.94,47.88,51.72,26.06,0.6711,36.29,39.04,35.81,34.03,36.3,36.3,31.85,0.5195
split 1,47.99,47.96,50.23,45.76,48.11,55.15,25.95,0.6672,32.44,34.84,31.51,30.98,32.42,31.51,33.79,0.5002
split 2,47.63,46.67,49.72,46.5,47.71,53.44,26.15,0.664,33.93,29.21,41.32,31.27,34.47,47.26,32.76,0.5237
split 3,46.45,45.68,51.92,41.76,47.0,61.41,26.5,0.6647,33.61,35.51,38.18,27.16,34.25,46.21,32.87,0.5179
split 4,48.87,50.47,48.48,47.67,48.89,49.23,25.56,0.6713,33.65,35.19,36.43,29.32,33.79,35.17,33.1,0.5147
mean,47.76,47.72,49.83,45.73,47.92,54.19,26.04,0.6677,33.99,34.76,36.65,30.55,34.25,39.29,32.88,0.5152
std,0.78,1.61,1.22,2.08,0.61,4.11,0.31,0.0031,1.26,3.16,3.2,2.27,1.25,6.29,0.63,0.008
testing,46.9,50.92,45.13,44.64,47.07,43.96,26.47,0.6683,31.64,31.46,33.51,29.95,31.59,32.98,34.21,0.4832
