,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,34.39,50.96,27.18,25.02,39.46,43.56,36.94,50.56,43.19,0.6047,28.1,45.35,26.91,12.02,33.78,36.04,33.07,34.31,40.74,0.5061
split 1,24.15,50.3,5.97,16.17,35.64,47.9,34.34,63.62,45.74,0.5822,21.87,48.93,0.0,16.66,33.76,23.08,33.54,0.0,35.69,0.5433
split 2,31.19,51.7,16.91,24.97,38.74,46.26,36.43,57.18,45.19,0.5984,23.64,47.0,17.26,6.65,32.44,29.78,32.94,36.06,20.34,0.53
split 3,20.47,50.31,4.52,6.59,34.58,48.78,33.85,63.43,49.05,0.5899,16.65,49.94,0.0,0.0,33.1,11.12,33.36,0.0,0.0,0.5105
split 4,17.25,49.98,0.73,1.05,33.49,52.16,33.36,67.5,55.62,0.5892,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.4924
split 5,31.14,51.02,14.91,27.51,38.41,44.77,36.11,52.21,45.98,0.6015,26.83,42.94,10.11,27.45,31.6,31.18,32.51,31.43,29.6,0.4772
mean,26.43,50.71,11.7,16.88,36.72,47.24,35.17,59.08,47.46,0.5943,22.29,47.36,9.05,10.46,33.0,23.72,33.13,16.97,21.06,0.5099
std,6.23,0.58,8.96,10.01,2.26,2.82,1.37,6.24,4.04,0.0079,4.47,2.58,10.27,9.68,0.77,9.68,0.34,17.02,16.13,0.022
test mean,22.90222654873174,50.87212458407012,5.443985556608337,12.390569505516753,35.64697872354576,28.96883427988809,34.845930995864826,11.991733599428548,40.06883824437088,0.5895689119220677,19.439425233235696,46.325978937794055,5.035963154589228,6.956333607323795,32.36961909209574,22.94300047866876,32.04984456933378,16.01021152443472,20.768945342237778,0.4977096948807861
test std,5.724408208585161,2.2100158042799904,11.856666786920584,11.725504929202502,2.9642255058711924,12.254411117392786,2.0336599321988746,25.235482985569888,32.6824302340466,0.03972373307164592,3.6209993418001445,7.3556596445068125,10.952420733729811,7.60361776605227,2.181177417989586,13.735140672832289,2.750399094359548,33.04914229617846,22.699524318955326,0.05871467654443153
