,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,84.96,84.5,82.48,0.9114,46.28,62.31,80.53,0.8175
split 1,83.55,83.08,81.3,0.9082,81.24,76.9,68.4,0.8965
split 2,83.62,83.32,82.18,0.9112,70.05,72.9,78.29,0.8253
split 3,63.49,67.29,71.85,0.748,74.63,71.67,67.57,0.776
split 4,81.65,81.11,79.39,0.8834,78.62,79.04,80.23,0.8596
split 5,82.2,81.71,80.07,0.8927,78.33,76.65,73.09,0.8676
mean,79.91,80.17,79.54,0.8758,71.52,73.25,74.68,0.8404
std,7.42,5.86,3.61,0.0581,11.83,5.49,5.33,0.0391
