,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,25.91,49.68,9.31,18.73,35.78,44.19,34.25,53.62,44.7,0.5765,21.96,48.14,9.69,8.06,32.61,29.85,33.23,29.22,27.09,0.5069
split 1,28.8,50.32,10.86,25.23,37.25,43.9,35.14,48.3,48.27,0.5751,18.82,47.5,6.04,2.92,31.93,29.04,32.15,32.2,22.76,0.4711
split 2,36.09,48.92,23.33,36.03,39.33,41.44,37.69,46.59,40.05,0.5815,35.38,40.63,26.48,39.03,36.28,36.11,36.87,35.29,36.16,0.5305
split 3,34.98,50.93,20.06,33.95,40.07,45.07,37.16,51.95,46.1,0.5837,23.02,48.75,2.95,17.36,33.5,29.53,33.82,20.87,33.88,0.5315
split 4,31.74,50.32,16.76,28.15,38.2,43.03,35.88,46.86,46.36,0.5765,21.34,48.89,0.0,15.13,33.61,26.11,33.32,0.0,45.0,0.5407
split 5,28.95,51.06,6.93,28.86,37.69,45.49,36.01,57.06,43.39,0.5754,28.18,48.2,4.03,32.32,36.45,47.37,34.15,63.36,44.61,0.5063
mean,31.08,50.2,14.54,28.49,38.05,43.85,36.02,50.73,44.81,0.5781,24.78,47.02,8.2,19.13,34.06,33.0,33.92,30.16,34.92,0.5145
std,3.59,0.73,5.94,5.67,1.39,1.34,1.16,3.83,2.61,0.0033,5.51,2.89,8.69,12.74,1.72,7.09,1.46,18.84,8.24,0.0232
test mean,29.666982999840727,49.13969145136912,11.987447784999741,27.87380976315332,37.379898207196845,34.98027522117799,36.182292698732695,30.005205434257206,38.753327530544034,0.5810645843142138,21.90185031884284,42.7764539447442,3.350819375829986,19.578277635954343,31.705558871459143,25.401835563624,31.154918436152094,10.091128848543871,34.95945940617603,0.5067882397631536
test std,9.6573600624142,4.413821392426803,14.938661549601605,16.37277757268368,6.604109519038691,14.619225559684324,3.9356975167337205,30.68764207311972,17.391368592535617,0.045259171298797383,4.875965580806814,9.535237427937773,5.016700342342749,14.819617398195325,3.3325267201637523,6.1508614812723295,5.022938567295982,13.821871674496768,13.020094810530763,0.0467964662968638
