,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4594,0.0,50.0,0.0,0.4938
split 1,0.0,50.0,0.0,0.4824,0.0,50.0,0.0,0.3696
split 2,0.0,50.0,0.0,0.4589,0.0,50.0,0.0,0.4912
split 3,0.0,50.0,0.0,0.4585,0.0,50.0,0.0,0.4942
split 4,0.0,50.0,0.0,0.4654,0.0,50.0,0.0,0.4574
split 5,0.0,50.0,0.0,0.4685,0.0,50.0,0.0,0.4576
mean,0.0,50.0,0.0,0.4655,0.0,50.0,0.0,0.4606
std,0.0,0.0,0.0,0.0084,0.0,0.0,0.0,0.0437
test mean,0.0,50.0,0.0,0.45619657358998233,0.0,49.99999999999999,0.0,0.5073177778486316
test std,0.0,1.2306961192854808e-14,0.0,0.09092131034465344,0.0,1.3759600911837627e-14,0.0,0.11079498795682552
