,F1,Acc,precision,Auc
train tissue 0,0.0,50.0,0.0,0.35726643598615915
train tissue 1,0.0,50.000000000000014,0.0,0.5329593267882188
train tissue 2,0.0,49.999999999999986,0.0,0.613960113960114
train tissue 3,0.0,50.0,0.0,0.41972920696324945
train tissue 4,0.0,50.0,0.0,0.33184656556645825
train tissue 5,0.0,50.0,0.0,0.2980769230769232
train tissue 6,0.0,49.99999999999998,0.0,0.4165217391304345
train tissue 7,0.0,49.99999999999997,0.0,0.39190283400809695
train tissue 8,0.0,50.0,0.0,0.40864864864864886
train tissue 9,0.0,50.0,0.0,0.59435736677116
train tissue 10,0.0,50.0,0.0,0.5169082125603864
train tissue 11,0.0,50.000000000000014,0.0,0.484363081617086
train tissue 12,0.0,50.0,0.0,0.5272000000000001
train tissue 13,0.0,49.999999999999986,0.0,0.3962848297213619
train tissue 14,0.0,49.999999999999986,0.0,0.5765432098765431
train tissue 15,0.0,50.000000000000014,0.0,0.4000000000000001
train tissue 16,0.0,50.0,0.0,0.4821621621621624
train tissue 17,0.0,49.999999999999986,0.0,0.5494987468671678
train tissue 18,0.0,49.999999999999986,0.0,0.369505494505494
train mean,0.0,50.0,0.0,0.45619657358998233
train std,0.0,1.2306961192854808e-14,0.0,0.09092131034465344
test tissue 0,0.0,49.99999999999996,0.0,0.5179738562091497
test tissue 1,0.0,49.99999999999999,0.0,0.6006410256410257
test tissue 2,0.0,50.0,0.0,0.2936046511627907
test tissue 3,0.0,50.0,0.0,0.485185185185185
test tissue 4,0.0,49.999999999999986,0.0,0.6219211822660098
test tissue 5,0.0,49.99999999999999,0.0,0.4385026737967917
test tissue 6,0.0,50.0,0.0,0.44632768361581915
test tissue 7,0.0,50.0,0.0,0.6543859649122805
test mean,0.0,49.99999999999999,0.0,0.5073177778486316
test std,0.0,1.3759600911837627e-14,0.0,0.11079498795682552
