plant,time point,cell,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood,degree.1,weighted node degree.1,clustering coefficient.1,information centrality.1,eigenvector centrality.1,page rank.1,katz centrality.1,current flow betweenness centrality.1,communicability betweenness centrality.1,harmonic centrality.1,size on 2 neighborhood.1,estrada index on 2 neighborhood.1,abs graph density on 2 neighborhood.1,rel graph density on 2 neighborhood.1,avg path length on 2 neighborhood.1,algebraic connectivity on 2 neighborhood.1,degree.2,weighted node degree.2,clustering coefficient.2,information centrality.2,betweenness centrality.2,eigenvector centrality.2,page rank.2,katz centrality.2,current flow betweenness centrality.2,communicability betweenness centrality.2,load centrality.2,harmonic centrality.2,size on 2 neighborhood.2,estrada index on 2 neighborhood.2,abs graph density on 2 neighborhood.2,rel graph density on 2 neighborhood.2,avg path length on 2 neighborhood.2,algebraic connectivity on 2 neighborhood.2,degree.3,weighted node degree.3,clustering coefficient.3,information centrality.3,betweenness centrality.3,eigenvector centrality.3,page rank.3,katz centrality.3,current flow betweenness centrality.3,communicability betweenness centrality.3,load centrality.3,harmonic centrality.3,size on 2 neighborhood.3,estrada index on 2 neighborhood.3,abs graph density on 2 neighborhood.3,rel graph density on 2 neighborhood.3,avg path length on 2 neighborhood.3,algebraic connectivity on 2 neighborhood.3
P1,0,332,6.0,6.0,0.4,0.0038303697205370334,0.028052638098453358,0.08346773230449199,0.002945843688890507,0.058078073241097886,0.05554331792718007,0.041471778271730465,0.02757460707470122,60.67004107004138,46.0,229.57218872317486,0.21904761904761907,4.380952380952381,2.4047619047619047,0.7173491471198674,6.0,0.2211712254755926,0.13441000519091748,0.00012090318753188536,3.6625354088411895e-06,0.003405336048328209,0.058078073241097886,0.06210624257139088,0.04147177827172177,2089.3577655330528,46.0,229.57218872317486,0.21904761904761907,4.380952380952381,0.07393884689698198,0.02266878220127924,6.0,2.0530338392118,0.01064183840861928,0.0011491293696530207,0.004336909381419767,2.410399237523937e-08,0.0031307354460424768,0.058078073241097886,0.05986570682491499,0.04147177827172177,0.004336909381419767,244.89766791051915,46.0,229.57218872317486,0.21904761904761907,4.380952380952381,0.5994726320267085,0.17371970416847987,6.0,0.8596852871440128,0.16545724113868215,0.0005014653532746855,0.014187136761891385,4.515137695718885e-05,0.0031505039552460518,0.058078073241097886,0.059712037155867724,0.04147177827172177,0.014187136761891385,526.3219383245462,46.0,229.57218872317486,0.21904761904761907,4.380952380952381,0.3055300271888341,0.09083990972516627
P1,0,340,5.0,5.0,0.5,0.003656414974031272,0.006771291521349872,0.06963053825929462,0.002534104078122373,0.051716679797740486,0.04091094929432028,0.02689266047928029,0.007210777358212325,60.492146742147064,37.0,182.96238626306544,0.2720588235294117,4.352941176470588,2.1544117647058822,0.943007459294475,5.0,0.16159562781693007,0.14248367416403807,0.0001110105322123241,1.353199062869802e-05,0.0028357431722822127,0.05171667979774048,0.044296411003890236,0.026892660479267576,2199.0158555848334,37.0,182.96238626306544,0.2720588235294117,4.352941176470588,0.05567689669655422,0.0254713992146256,5.0,1.2637797534414985,0.010860416744864116,0.00102745822758209,0.002545958948606745,1.0798989590173442e-11,0.0023619553350394122,0.05171667979774048,0.039713526747313085,0.026892660479267576,0.002545958948606745,260.1718365197261,37.0,182.96238626306544,0.2720588235294117,4.352941176470588,0.512176168869298,0.20647585009315966,5.0,0.6916824981435744,0.1964271215751654,0.00047676201616271346,0.0,0.00012590516539729246,0.00273113050657413,0.05171667979774048,0.046146737195151714,0.026892660479267576,0.0,513.5444378041733,37.0,182.96238626306544,0.2720588235294117,4.352941176470588,0.23912069185206644,0.10887147563370188
P1,0,346,6.0,6.0,0.4,0.00387926945533233,0.027071997535808152,0.08805457742561743,0.0029567919900842345,0.0573572866030097,0.05361991656891008,0.04000408176550133,0.030389349374098817,62.357864357864635,44.0,219.939538930836,0.2315789473684211,4.4,2.3526315789473684,0.7124311178296114,6.0,0.18382273133475505,0.11542987594343848,0.00011837912915925859,8.250888230871923e-06,0.0029517013858693197,0.0573572866030097,0.053812344590340636,0.040004081765496864,2244.068871871364,44.0,219.939538930836,0.2315789473684211,4.4,0.07149655384820318,0.022293089571399888,6.0,1.5644087278956207,0.009299571921230378,0.001094048044044962,0.07592225168121082,1.6322879712139276e-11,0.0026599487238249905,0.0573572866030097,0.047671625949587175,0.040004081765496864,0.07592225168121082,275.00309841912457,44.0,219.939538930836,0.2315789473684211,4.4,0.5764613468260895,0.1740410242770461,6.0,0.7595570718901064,0.1507315185007478,0.0004990224651899309,0.017400312538408864,0.00015305884521753485,0.002883659590638291,0.0573572866030097,0.05520438513518075,0.040004081765496864,0.017400312538408864,555.9298832293846,44.0,219.939538930836,0.2315789473684211,4.4,0.2878204511570065,0.09450068343092444
P1,0,351,7.0,7.0,0.3333333333333333,0.00394460842392716,0.019829046885542836,0.09158901507208904,0.00342257235764343,0.06078670305242529,0.0583982936448432,0.033698792190564486,0.01911417159250148,60.48608336108371,43.0,218.1144276591102,0.25146198830409355,4.526315789473684,2.2748538011695905,0.8272396868683466,7.0,0.2239474673288097,0.10336150081957148,0.00012172133814636111,5.61273605984973e-06,0.003454058640328089,0.06078670305242529,0.0592333063280814,0.03369879219056012,2149.5095219480177,43.0,218.1144276591102,0.25146198830409355,4.526315789473684,0.0709240446558437,0.02666592273047105,7.0,2.2232120160984064,0.008364050906642056,0.0011250712659787027,0.10566607553596824,3.3588323122169476e-11,0.0035319486125660023,0.06078670305242529,0.0530515854635938,0.03369879219056012,0.10566607553596824,276.92213868458754,43.0,218.1144276591102,0.25146198830409355,4.526315789473684,0.571266844025508,0.22190502653785588,7.0,0.8955206666510855,0.13295858976793676,0.0005116761897410191,0.013080961494565694,0.00013120712616500712,0.0032969602280311697,0.06078670305242529,0.06067103122694225,0.03369879219056012,0.013080961494565694,521.1478578348281,43.0,218.1144276591102,0.25146198830409355,4.526315789473684,0.2855764210861159,0.11003626568604424
P1,0,369,7.0,7.0,0.3333333333333333,0.0041065789539215655,0.0951816902764576,0.10529843892964133,0.0033602824541147337,0.06342015087540832,0.07950397594157192,0.10942233346522638,0.09450734716712962,64.3926850926854,49.0,249.19474315725319,0.2121212121212121,4.454545454545454,2.4372294372294374,0.6488508235388243,7.0,0.19060022735236626,0.08710828772134949,0.00012198115848073478,0.000620892283130551,0.003157633529885749,0.06342015087540832,0.07490130519768336,0.10942233346521313,2397.636048437569,49.0,249.19474315725319,0.2121212121212121,4.454545454545454,0.06769063932916418,0.01852948583153271,7.0,2.1330201544624123,0.007881083549150677,0.0012125225315222268,0.09154917212438324,7.391049385088034e-10,0.0031544945360236663,0.06342015087540832,0.08452385416433626,0.10942233346521313,0.09154917212438324,274.1298872474448,49.0,249.19474315725319,0.2121212121212121,4.454545454545454,0.5883410800785172,0.18186262463072314,7.0,0.8332057140192128,0.12045001801305764,0.0005158081053342093,0.08150580303056906,0.005249731023232362,0.0031835738660972892,0.06342015087540832,0.07470329112198454,0.10942233346521313,0.08150580303056906,576.4895210868815,49.0,249.19474315725319,0.2121212121212121,4.454545454545454,0.2783511493160826,0.07869351407111971
P1,0,376,6.0,6.0,0.4,0.003790754173590492,0.016386782029519018,0.08079428475430522,0.002972144922495268,0.05660798551773578,0.04846734248641832,0.027112286216898145,0.017269854938852608,59.82408147408182,42.0,209.17227338057185,0.2456140350877193,4.421052631578949,2.304093567251462,0.7949814819885648,6.0,0.2253486166266415,0.1365216300132668,0.00012039678514200725,4.119819122439053e-06,0.0034392757011558,0.05660798551773578,0.05532482255643965,0.02711228621689096,2045.3833489798649,42.0,209.17227338057185,0.2456140350877193,4.421052631578949,0.07331114916090829,0.025932448413663985,6.0,1.7105024710066363,0.010560165278535752,0.0010931161756229442,0.025003072709075903,9.07174590449183e-10,0.0027212347088372245,0.05660798551773578,0.04445310469585903,0.02711228621689096,0.025003072709075903,262.4025859476859,42.0,209.17227338057185,0.2456140350877193,4.421052631578949,0.5759291226477075,0.20398274134578626,6.0,0.8752838378270766,0.17006397498514111,0.0005007496651168934,0.009446385616209856,7.400385585882732e-05,0.003188178468904585,0.05660798551773578,0.05411366871047341,0.02711228621689096,0.009446385616209856,511.3779261449673,42.0,209.17227338057185,0.2456140350877193,4.421052631578949,0.29397413960491336,0.1106953020262454
P1,0,389,6.0,6.0,0.4,0.003839184845412716,0.016413143143881283,0.08774187093010878,0.002982631294215045,0.056342134156833985,0.04859385641033735,0.03300605594050369,0.01611851050807583,61.569841269841575,40.0,203.22772408422662,0.26143790849673204,4.4444444444444455,2.2091503267973858,0.8940296896815506,6.0,0.18602397178387087,0.11954112156492372,0.00011732934517902354,1.9797378950882488e-05,0.003004391124076685,0.056342134156833985,0.04839250352141999,0.0330060559404928,2210.9205128758413,40.0,203.22772408422662,0.26143790849673204,4.4444444444444455,0.06657270819954512,0.02724676819300077,6.0,1.5163596678186495,0.009261180201403943,0.001061683748575787,0.04212245184625919,1.1443830898973558e-12,0.0025443272477543807,0.056342134156833985,0.03799737505594355,0.0330060559404928,0.04212245184625919,271.8061147929812,40.0,203.22772408422662,0.26143790849673204,4.4444444444444455,0.5613868811277862,0.2394981596314192,6.0,0.8091834880892186,0.16064212812252807,0.0005016302863149101,0.004881217846294314,0.00046549905359488165,0.003061207769764809,0.056342134156833985,0.05321255595576477,0.0330060559404928,0.004881217846294314,525.6231948672906,40.0,203.22772408422662,0.26143790849673204,4.4444444444444455,0.2674058904970405,0.10548233216005357
P1,0,390,7.0,7.0,0.3333333333333333,0.003939772045882874,0.06233793418900909,0.07483580886755152,0.0034089940914800647,0.0615511086847433,0.06704999296984404,0.06519893712879793,0.06637116977976146,62.03349150849179,45.0,228.8939780952631,0.2368421052631579,4.5,2.3263157894736843,0.736116267477168,7.0,0.1710475539593417,0.07782579225968622,0.00011268320504054795,3.672770680766801e-05,0.003117597712851289,0.0615511086847433,0.06020612790607749,0.06519893712878294,2531.607997918713,45.0,228.8939780952631,0.2368421052631579,4.5,0.05636422495194397,0.0189820459968049,7.0,2.056173872633474,0.007498833777760364,0.0011187190936176976,0.09792284866468842,4.1077631555557457e-13,0.0036375231278678,0.0615511086847433,0.06591229262954586,0.06519893712878294,0.09792284866468842,276.77198924071615,45.0,228.8939780952631,0.2368421052631579,4.5,0.5394644458337319,0.20365668683897625,7.0,0.7881945827087071,0.11391500831068226,0.0004890469139372724,0.07560620160483204,0.00015029887953826244,0.0031362817346305585,0.0615511086847433,0.06332922359477271,0.06519893712878294,0.07560620160483204,579.8805344912433,45.0,228.8939780952631,0.2368421052631579,4.5,0.2609449314849597,0.08233502116708212
P1,0,398,6.0,6.0,0.4,0.003800888630638261,0.010925068856453696,0.08616230391032696,0.002990779729200756,0.0562635923509507,0.04574460372817105,0.02515334068880772,0.01417415792564909,60.31646131646168,40.0,204.48888468582044,0.26143790849673204,4.4444444444444455,2.189542483660131,0.8871244115723507,6.0,0.20057449518882625,0.12474539162314828,0.00011785607657662642,1.2439330300493566e-05,0.003193869948555601,0.0562635923509507,0.04846690114066585,0.025153340688792696,2124.7960278560668,40.0,204.48888468582044,0.26143790849673204,4.4444444444444455,0.06413482599641998,0.02650053724276423,6.0,3.1526537347041064,0.01113213475819033,0.0011592849484733055,0.01984092146155602,2.589262527457876e-12,0.004433067003381505,0.0562635923509507,0.0501553743471721,0.025153340688792696,0.01984092146155602,268.8215748276259,40.0,204.48888468582044,0.26143790849673204,4.4444444444444455,0.5315989241351737,0.21369741384600885,6.0,0.8171942709432771,0.1620632138398435,0.0004982333668871213,0.0025635172861833443,0.00032843444255722986,0.003076905277057625,0.0562635923509507,0.0508975607480983,0.025153340688792696,0.0025635172861833443,515.9983061602661,40.0,204.48888468582044,0.26143790849673204,4.4444444444444455,0.2630503841100252,0.11231254242881142
P1,0,413,5.0,5.0,0.5,0.003625658903993253,0.002692744993264101,0.06527789256358787,0.0025384762618846685,0.05142011293639865,0.04027844798481247,0.0238544338335252,0.002509158569215693,59.01886724386762,35.0,172.19936936508896,0.2916666666666667,4.375,2.1,1.0008307810573167,5.0,0.14847015572367578,0.13267887413828044,0.00010768602338675836,2.7438975835470017e-05,0.002671108193986054,0.05142011293639865,0.04145799374127673,0.023854433833515414,2264.185782294567,35.0,172.19936936508896,0.2916666666666667,4.375,0.05132169103225463,0.02561903509811487,5.0,1.1173732538674694,0.010023638533020771,0.0009707364046310832,0.001896300458272611,1.484195848613769e-11,0.0021793105370763203,0.05142011293639865,0.033774700257077954,0.023854433833515414,0.001896300458272611,263.659151217993,35.0,172.19936936508896,0.2916666666666667,4.375,0.4743388968721245,0.2295074819533786,5.0,0.7649713301988657,0.20397237490541653,0.00048317680113050323,0.0,9.738466084888832e-05,0.0029825080064194995,0.05142011293639865,0.0515088707568688,0.023854433833515414,0.0,489.3501667328789,35.0,172.19936936508896,0.2916666666666667,4.375,0.2303854975925593,0.120606129014437
