,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,81.5,81.56,81.74,0.9107,76.24,68.83,61.6,0.9142
split 1,94.68,94.76,96.05,0.9895,76.32,72.73,67.44,0.8375
split 2,88.77,89.18,92.34,0.9651,65.42,60.92,58.66,0.7249
split 3,75.25,75.96,77.55,0.8361,85.25,85.0,83.87,0.9158
split 4,70.32,72.61,76.73,0.8122,79.17,79.17,79.17,0.8863
split 5,80.34,80.83,82.46,0.8863,87.88,87.5,85.29,0.9446
mean,81.81,82.48,84.48,0.9,78.38,75.69,72.67,0.8705
std,8.08,7.52,7.25,0.0637,7.24,9.24,10.59,0.073
