,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.6003,0.0,50.0,0.0,0.4904
split 1,0.0,50.0,0.0,0.5961,0.0,50.0,0.0,0.4931
split 2,0.0,50.0,0.0,0.6158,0.0,50.0,0.0,0.515
split 3,0.0,50.0,0.0,0.5945,0.0,50.0,0.0,0.5827
split 4,0.0,50.0,0.0,0.6099,0.0,50.0,0.0,0.5259
split 5,0.0,50.0,0.0,0.5994,0.0,50.0,0.0,0.5369
mean,0.0,50.0,0.0,0.6027,0.0,50.0,0.0,0.524
std,0.0,0.0,0.0,0.0076,0.0,0.0,0.0,0.031
test mean,0.0,50.0,0.0,0.5813175096111134,0.0,50.00000000000001,0.0,0.4917043095978937
test std,0.0,1.511689612797626e-14,0.0,0.0689847001877036,0.0,1.443119118362539e-14,0.0,0.08601778139832297
