plant,time point,cell,area,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood
P1,0,332,25.2998,6.0,6.0,0.4,0.0038303697205370334,0.028052638098453358,0.08346773230449199,0.0029458436888905068,0.058078073241097886,0.05554331792718007,0.04147177827173047,0.02757460707470122,60.67004107004138,46.0,229.57218872317486,0.21904761904761907,4.380952380952381,2.4047619047619047,0.7173491471198671,6.0,0.2211712254755926,0.13441000519091748,0.00012090318753188536,0.003494109177743051,3.6625354088411895e-06,0.003405336048328209,0.058078073241097886,0.06210624257139088,0.04147177827172177,0.003494109177743051,2089.3577655330528,46.0,229.57218872317486,0.21904761904761907,4.380952380952381,0.07393884689698198,0.02266878220127923,6.0,2.0530338392118,0.01064183840861928,0.0011491293696530207,0.004336909381419767,2.410399237523937e-08,0.0031307354460424768,0.058078073241097886,0.05986570682491499,0.04147177827172177,0.004336909381419767,244.89766791051912,46.0,229.57218872317486,0.21904761904761907,4.380952380952381,0.5994726320267085,0.1737197041684798,6.0,0.8596852871440128,0.16545724113868215,0.0005014653532746855,0.014187136761891385,4.515137695718885e-05,0.0031505039552460518,0.058078073241097886,0.059712037155867724,0.04147177827172177,0.014187136761891385,526.3219383245462,46.0,229.57218872317486,0.21904761904761907,4.380952380952381,0.3055300271888341,0.09083990972516637
P1,0,340,25.4419,5.0,5.0,0.5,0.003656414974031272,0.006771291521349872,0.06963053825929462,0.002534104078122373,0.051716679797740486,0.04091094929432028,0.02689266047928029,0.007210777358212325,60.492146742147064,37.0,182.96238626306544,0.2720588235294117,4.352941176470588,2.1544117647058822,0.9430074592944744,5.0,0.16159562781693007,0.14248367416403807,0.0001110105322123241,0.0,1.353199062869802e-05,0.0028357431722822127,0.05171667979774048,0.044296411003890236,0.026892660479267576,0.0,2199.0158555848334,37.0,182.96238626306544,0.2720588235294117,4.352941176470588,0.05567689669655422,0.02547139921462561,5.0,1.2637797534414985,0.010860416744864116,0.00102745822758209,0.0025459589486067453,1.0798989590173442e-11,0.0023619553350394122,0.05171667979774048,0.039713526747313085,0.026892660479267576,0.0025459589486067453,260.1718365197261,37.0,182.96238626306544,0.2720588235294117,4.352941176470588,0.512176168869298,0.20647585009316016,5.0,0.6916824981435744,0.1964271215751654,0.00047676201616271346,0.0,0.00012590516539729246,0.00273113050657413,0.05171667979774048,0.046146737195151714,0.026892660479267576,0.0,513.5444378041733,37.0,182.96238626306544,0.2720588235294117,4.352941176470588,0.23912069185206644,0.10887147563370207
P1,0,346,33.8692,6.0,6.0,0.4,0.0038792694553323303,0.027071997535808152,0.08805457742561743,0.0029567919900842345,0.0573572866030097,0.05361991656891008,0.04000408176550133,0.030389349374098817,62.357864357864635,44.0,219.939538930836,0.2315789473684211,4.4,2.3526315789473684,0.712431117829611,6.0,0.18382273133475505,0.11542987594343848,0.00011837912915925859,0.019595104735483645,8.250888230871923e-06,0.0029517013858693197,0.0573572866030097,0.053812344590340636,0.040004081765496864,0.019595104735483645,2244.068871871364,44.0,219.939538930836,0.2315789473684211,4.4,0.07149655384820318,0.022293089571399943,6.0,1.564408727895621,0.009299571921230378,0.001094048044044962,0.07592225168121082,1.6322879712139276e-11,0.0026599487238249905,0.0573572866030097,0.047671625949587175,0.040004081765496864,0.07592225168121082,275.00309841912457,44.0,219.939538930836,0.2315789473684211,4.4,0.5764613468260895,0.17404102427704582,6.0,0.7595570718901064,0.1507315185007478,0.0004990224651899309,0.017400312538408864,0.00015305884521753485,0.002883659590638291,0.0573572866030097,0.05520438513518075,0.040004081765496864,0.017400312538408864,555.9298832293846,44.0,219.939538930836,0.2315789473684211,4.4,0.2878204511570065,0.09450068343092446
P1,0,351,34.9281,7.0,7.0,0.3333333333333333,0.00394460842392716,0.019829046885542833,0.09158901507208904,0.00342257235764343,0.06078670305242529,0.0583982936448432,0.033698792190564486,0.01911417159250148,60.48608336108371,43.0,218.1144276591102,0.25146198830409355,4.526315789473684,2.2748538011695905,0.8272396868683464,7.0,0.2239474673288097,0.10336150081957148,0.00012172133814636111,0.02229908872227977,5.61273605984973e-06,0.003454058640328089,0.06078670305242529,0.0592333063280814,0.033698792190560115,0.02229908872227977,2149.5095219480177,43.0,218.1144276591102,0.25146198830409355,4.526315789473684,0.0709240446558437,0.02666592273047105,7.0,2.2232120160984064,0.008364050906642056,0.0011250712659787027,0.10566607553596824,3.3588323122169476e-11,0.0035319486125660023,0.06078670305242529,0.0530515854635938,0.033698792190560115,0.10566607553596824,276.92213868458754,43.0,218.1144276591102,0.25146198830409355,4.526315789473684,0.571266844025508,0.22190502653785565,7.0,0.8955206666510855,0.13295858976793676,0.0005116761897410191,0.013080961494565694,0.00013120712616500712,0.00329696022803117,0.06078670305242529,0.06067103122694225,0.033698792190560115,0.013080961494565694,521.1478578348281,43.0,218.1144276591102,0.25146198830409355,4.526315789473684,0.2855764210861159,0.11003626568604424
P1,0,369,39.8367,7.0,7.0,0.3333333333333333,0.0041065789539215655,0.0951816902764576,0.10529843892964133,0.0033602824541147337,0.06342015087540832,0.07950397594157192,0.10942233346522638,0.09450734716712962,64.3926850926854,49.0,249.19474315725319,0.2121212121212121,4.454545454545454,2.4372294372294374,0.6488508235388258,7.0,0.19060022735236626,0.08710828772134949,0.00012198115848073478,0.11131986023563288,0.000620892283130551,0.003157633529885749,0.06342015087540832,0.07490130519768336,0.10942233346521313,0.11131986023563288,2397.636048437569,49.0,249.19474315725319,0.2121212121212121,4.454545454545454,0.06769063932916418,0.01852948583153268,7.0,2.1330201544624123,0.007881083549150677,0.0012125225315222268,0.09154917212438324,7.391049385088034e-10,0.0031544945360236663,0.06342015087540832,0.08452385416433626,0.10942233346521313,0.09154917212438324,274.1298872474448,49.0,249.19474315725319,0.2121212121212121,4.454545454545454,0.5883410800785172,0.18186262463072184,7.0,0.8332057140192128,0.12045001801305764,0.0005158081053342093,0.08150580303056906,0.005249731023232362,0.0031835738660972897,0.06342015087540832,0.07470329112198454,0.10942233346521313,0.08150580303056906,576.4895210868815,49.0,249.19474315725319,0.2121212121212121,4.454545454545454,0.2783511493160826,0.07869351407111956
P1,0,372,33.2197,6.0,6.0,0.4,0.0038082146387583963,0.051066500518333335,0.07013341389588727,0.0029420467668658983,0.058564634314122004,0.06334414638027627,0.06841364827679015,0.04514255300686313,61.52987567987599,46.0,229.5217139629116,0.21904761904761907,4.380952380952381,2.4095238095238094,0.7000644474301626,6.0,0.16063612353224546,0.09640839621301582,0.00011109015304502119,0.010886169297490913,0.00036235955522888937,0.0027563263128616987,0.058564634314122004,0.05979635321335421,0.0684136482767873,0.010886169297490913,2375.254208800506,46.0,229.5217139629116,0.21904761904761907,4.380952380952381,0.0615613150987756,0.018447831908340238,6.0,1.7421892534744503,0.009134002241942616,0.0010974842353058264,0.049461836953277265,1.7827182560018455e-11,0.002954517659633012,0.058564634314122004,0.06374861895098745,0.0684136482767873,0.049461836953277265,258.730148469342,46.0,229.5217139629116,0.21904761904761907,4.380952380952381,0.5712562496233989,0.17504798096112192,6.0,0.6801470222927845,0.1335520308080717,0.0004705954669541257,0.07920566080803469,0.00014488950098873283,0.002652856429821056,0.058564634314122004,0.058067375928477674,0.0684136482767873,0.07920566080803469,580.8186548902919,46.0,229.5217139629116,0.21904761904761907,4.380952380952381,0.2673152537149105,0.0814216483590155
P1,0,376,25.0274,6.0,6.0,0.4,0.003790754173590492,0.016386782029519018,0.08079428475430522,0.002972144922495268,0.05660798551773578,0.04846734248641832,0.027112286216898145,0.017269854938852608,59.82408147408182,42.0,209.17227338057185,0.2456140350877193,4.421052631578949,2.304093567251462,0.7949814819885622,6.0,0.2253486166266415,0.1365216300132668,0.00012039678514200725,0.00872649377556933,4.119819122439053e-06,0.0034392757011558,0.05660798551773578,0.05532482255643965,0.02711228621689096,0.00872649377556933,2045.3833489798649,42.0,209.17227338057185,0.2456140350877193,4.421052631578949,0.07331114916090829,0.025932448413663937,6.0,1.7105024710066363,0.010560165278535752,0.0010931161756229442,0.025003072709075903,9.07174590449183e-10,0.0027212347088372245,0.05660798551773578,0.04445310469585903,0.02711228621689096,0.025003072709075903,262.4025859476859,42.0,209.17227338057185,0.2456140350877193,4.421052631578949,0.5759291226477075,0.20398274134578664,6.0,0.8752838378270766,0.17006397498514111,0.0005007496651168934,0.009446385616209856,7.400385585882732e-05,0.003188178468904585,0.05660798551773578,0.05411366871047341,0.02711228621689096,0.009446385616209856,511.3779261449673,42.0,209.17227338057185,0.2456140350877193,4.421052631578949,0.29397413960491336,0.11069530202624564
P1,0,389,35.6174,6.0,6.0,0.4,0.003839184845412716,0.016413143143881283,0.08774187093010878,0.002982631294215045,0.056342134156833985,0.04859385641033735,0.03300605594050369,0.01611851050807583,61.569841269841575,40.0,203.22772408422662,0.26143790849673204,4.4444444444444455,2.2091503267973858,0.8940296896815527,6.0,0.18602397178387087,0.11954112156492372,0.00011732934517902354,0.02238688041016277,1.9797378950882488e-05,0.003004391124076685,0.056342134156833985,0.04839250352141999,0.0330060559404928,0.02238688041016277,2210.9205128758413,40.0,203.22772408422662,0.26143790849673204,4.4444444444444455,0.06657270819954512,0.027246768193000776,6.0,1.5163596678186495,0.009261180201403943,0.001061683748575787,0.042122451846259186,1.1443830898973558e-12,0.0025443272477543807,0.056342134156833985,0.03799737505594355,0.0330060559404928,0.042122451846259186,271.8061147929812,40.0,203.22772408422662,0.26143790849673204,4.4444444444444455,0.5613868811277862,0.2394981596314197,6.0,0.8091834880892186,0.16064212812252807,0.0005016302863149101,0.0048812178462943135,0.00046549905359488165,0.003061207769764809,0.056342134156833985,0.05321255595576477,0.0330060559404928,0.0048812178462943135,525.6231948672906,40.0,203.22772408422662,0.26143790849673204,4.4444444444444455,0.2674058904970405,0.10548233216005376
P1,0,390,44.4853,7.0,7.0,0.3333333333333333,0.003939772045882874,0.06233793418900909,0.07483580886755152,0.0034089940914800647,0.0615511086847433,0.06704999296984404,0.06519893712879793,0.06637116977976146,62.03349150849179,45.0,228.8939780952631,0.2368421052631579,4.5,2.3263157894736843,0.7361162674771677,7.0,0.1710475539593417,0.07782579225968622,0.00011268320504054795,0.13368918230821905,3.672770680766801e-05,0.003117597712851289,0.0615511086847433,0.06020612790607749,0.06519893712878294,0.13368918230821905,2531.607997918713,45.0,228.8939780952631,0.2368421052631579,4.5,0.05636422495194397,0.018982045996804912,7.0,2.056173872633474,0.007498833777760364,0.0011187190936176976,0.09792284866468842,4.1077631555557457e-13,0.0036375231278677994,0.0615511086847433,0.06591229262954586,0.06519893712878294,0.09792284866468842,276.77198924071615,45.0,228.8939780952631,0.2368421052631579,4.5,0.5394644458337319,0.20365668683897534,7.0,0.7881945827087071,0.11391500831068226,0.0004890469139372724,0.07560620160483204,0.00015029887953826244,0.0031362817346305585,0.0615511086847433,0.06332922359477271,0.06519893712878294,0.07560620160483204,579.8805344912433,45.0,228.8939780952631,0.2368421052631579,4.5,0.2609449314849597,0.0823350211670821
P1,0,398,30.4764,6.0,6.0,0.4,0.003800888630638261,0.010925068856453696,0.08616230391032696,0.002990779729200756,0.0562635923509507,0.04574460372817105,0.02515334068880772,0.01417415792564909,60.31646131646168,40.0,204.48888468582044,0.26143790849673204,4.4444444444444455,2.189542483660131,0.8871244115723507,6.0,0.20057449518882625,0.12474539162314828,0.00011785607657662642,0.0028268923498323177,1.2439330300493566e-05,0.003193869948555601,0.0562635923509507,0.04846690114066585,0.025153340688792696,0.0028268923498323177,2124.7960278560668,40.0,204.48888468582044,0.26143790849673204,4.4444444444444455,0.06413482599641998,0.02650053724276426,6.0,3.1526537347041064,0.01113213475819033,0.0011592849484733055,0.01984092146155602,2.589262527457876e-12,0.004433067003381505,0.0562635923509507,0.0501553743471721,0.025153340688792696,0.01984092146155602,268.8215748276259,40.0,204.48888468582044,0.26143790849673204,4.4444444444444455,0.5315989241351737,0.21369741384600985,6.0,0.8171942709432771,0.1620632138398435,0.0004982333668871213,0.0025635172861833443,0.00032843444255722986,0.003076905277057625,0.0562635923509507,0.0508975607480983,0.025153340688792696,0.0025635172861833443,515.9983061602661,40.0,204.48888468582044,0.26143790849673204,4.4444444444444455,0.2630503841100252,0.11231254242881099
